TicketID,DateKey,CustomerID,Category,Priority,SLATargetHrs,CreatedDate,ResolvedDate,ResolutionTimeHrs,FCRFlag,PostResolutionCSAT,SLAMetFlag
TKT-00030,20230521,CUST-04715,Technical/Pump,High,4,2023-05-21,2023-05-21,2.5,0,3,1
TKT-00031,20240313,CUST-00130,Billing/Payment,High,4,2024-03-13,2024-03-13,6.0,0,3,0
TKT-00032,20230906,CUST-03008,Installation,Low,72,2023-09-06,2023-09-06,7.5,0,2,1
TKT-00033,20240717,CUST-00734,Billing/Payment,High,4,2024-07-17,,36.1,0,,0
TKT-00034,20251029,CUST-03133,Installation,High,4,2025-10-29,2025-10-29,15.8,0,3,0
TKT-00035,20251124,CUST-00857,Warranty,Medium,24,2025-11-24,2025-11-24,23.8,1,4,1
TKT-00036,20240202,CUST-04656,Billing/Payment,Low,72,2024-02-02,2024-02-03,31.1,0,4,1
TKT-00037,20240608,CUST-04034,Warranty,Medium,24,2024-06-08,2024-06-08,18.0,1,4,1
TKT-00038,20250401,CUST-01680,Technical/Pump,Medium,24,2025-04-01,2025-04-01,0.5,0,3,1
TKT-00039,20231206,CUST-02656,Billing/Payment,Low,72,2023-12-06,2023-12-06,14.7,1,3,1
TKT-00040,20250908,CUST-02586,Complaint,Medium,24,2025-09-08,2025-09-08,11.7,1,3,1
TKT-00041,20250603,CUST-01410,Technical/Pump,Medium,24,2025-06-03,2025-06-03,12.6,0,4,1
TKT-00042,20250820,CUST-02102,Technical/Pump,High,4,2025-08-20,2025-08-21,24.6,1,3,0
TKT-00043,20240313,CUST-00647,Billing/Payment,Medium,24,2024-03-13,2024-03-13,21.9,0,4,1
TKT-00044,20240901,CUST-04835,Installation,Low,72,2024-09-01,2024-09-02,27.0,1,4,1
TKT-00045,20260207,CUST-04533,Technical/Pump,Medium,24,2026-02-07,2026-02-07,21.1,1,3,1
TKT-00046,20250707,CUST-00788,Billing/Payment,Low,72,2025-07-07,2025-07-08,24.8,1,3,1
TKT-00047,20250926,CUST-02270,Installation,High,4,2025-09-26,2025-09-26,6.7,1,4,0
TKT-00048,20260105,CUST-01039,Warranty,Medium,24,2026-01-05,2026-01-06,38.8,1,3,0
TKT-00049,20251116,CUST-00172,Complaint,Low,72,2025-11-16,2025-11-17,47.1,1,3,1
TKT-00050,20250207,CUST-00978,Warranty,Low,72,2025-02-07,2025-02-07,17.8,0,2,1
TKT-00051,20251205,CUST-03835,Technical/Pump,Low,72,2025-12-05,2025-12-06,28.2,1,4,1
TKT-00052,20250112,CUST-02714,Technical/Pump,Low,72,2025-01-12,2025-01-12,21.2,1,4,1
TKT-00053,20231029,CUST-02714,Technical/Pump,High,4,2023-10-29,2023-10-29,1.3,0,3,1
TKT-00054,20250426,CUST-03728,Warranty,Medium,24,2025-04-26,2025-04-26,16.2,0,4,1
TKT-00055,20250516,CUST-02776,Technical/Pump,Medium,24,2025-05-16,2025-05-16,20.3,0,5,1
TKT-00056,20231212,CUST-00613,Technical/Pump,High,4,2023-12-12,2023-12-13,35.7,1,2,0
TKT-00057,20250904,CUST-04625,Technical/Pump,Low,72,2025-09-04,2025-09-05,28.7,1,5,1
TKT-00058,20250220,CUST-03902,Warranty,Low,72,2025-02-20,2025-02-20,15.2,1,2,1
TKT-00059,20250626,CUST-00232,Technical/Pump,Low,72,2025-06-26,2025-06-26,1.6,0,3,1
TKT-00060,20231101,CUST-03235,Technical/Pump,Medium,24,2023-11-01,2023-11-01,18.6,1,5,1
TKT-00061,20250213,CUST-00207,Billing/Payment,Medium,24,2025-02-13,2025-02-13,3.1,1,4,1
TKT-00062,20260414,CUST-04044,Technical/Pump,Medium,24,2026-04-14,2026-04-14,1.2,0,5,1
TKT-00063,20240727,CUST-00266,Technical/Pump,Medium,24,2024-07-27,2024-07-27,9.8,0,4,1
TKT-00064,20230718,CUST-03835,Warranty,Medium,24,2023-07-18,2023-07-19,37.9,1,4,0
TKT-00065,20231219,CUST-02786,Installation,Medium,24,2023-12-19,2023-12-19,18.1,1,5,1
TKT-00066,20250831,CUST-03687,Billing/Payment,Medium,24,2025-08-31,2025-08-31,4.2,1,4,1
TKT-00067,20230429,CUST-03902,Installation,Medium,24,2023-04-29,2023-04-30,29.1,0,4,0
TKT-00068,20250404,CUST-04448,Technical/Pump,Medium,24,2025-04-04,2025-04-05,44.6,1,4,0
TKT-00069,20230908,CUST-02266,Billing/Payment,Medium,24,2023-09-08,2023-09-09,31.1,1,2,0
TKT-00070,20250817,CUST-04890,Billing/Payment,Low,72,2025-08-17,2025-08-17,5.0,1,2,1
TKT-00071,20240619,CUST-02918,Technical/Pump,Medium,24,2024-06-19,2024-06-19,12.0,0,3,1
TKT-00072,20230221,CUST-05000,Billing/Payment,Medium,24,2023-02-21,2023-02-22,25.9,0,2,0
TKT-00073,20251121,CUST-03368,Billing/Payment,Low,72,2025-11-21,2025-11-21,1.8,1,4,1
TKT-00074,20250218,CUST-03071,Installation,Medium,24,2025-02-18,2025-02-18,11.0,1,5,1
TKT-00075,20230709,CUST-00509,Billing/Payment,Low,72,2023-07-09,2023-07-09,0.7,1,2,1
TKT-00076,20250222,CUST-02475,Warranty,Medium,24,2025-02-22,2025-02-23,29.7,0,3,0
TKT-00077,20250826,CUST-02129,Technical/Pump,Medium,24,2025-08-26,2025-08-27,31.5,1,3,0
TKT-00078,20230607,CUST-01610,Warranty,High,4,2023-06-07,2023-06-07,11.7,1,4,0
TKT-00079,20250909,CUST-04415,Technical/Pump,Medium,24,2025-09-09,2025-09-09,1.7,0,4,1
TKT-00080,20250326,CUST-04670,Warranty,Low,72,2025-03-26,2025-03-26,9.9,1,4,1
TKT-00081,20250708,CUST-03363,General Inquiry,Medium,24,2025-07-08,2025-07-08,3.4,0,4,1
TKT-00082,20260329,CUST-00158,General Inquiry,Low,72,2026-03-29,2026-03-29,9.5,0,5,1
TKT-00083,20240326,CUST-04067,Warranty,Low,72,2024-03-26,2024-03-26,7.9,0,5,1
TKT-00084,20231219,CUST-01901,Installation,Medium,24,2023-12-19,2023-12-19,5.7,0,3,1
TKT-00085,20231212,CUST-00018,General Inquiry,Low,72,2023-12-12,2023-12-12,10.7,1,4,1
TKT-00086,20251111,CUST-01176,Technical/Pump,Medium,24,2025-11-11,2025-11-11,4.7,0,4,1
TKT-00087,20241012,CUST-02669,Billing/Payment,Low,72,2024-10-12,2024-10-12,12.6,0,2,1
TKT-00088,20251026,CUST-03382,Billing/Payment,Medium,24,2025-10-26,2025-10-26,2.2,1,3,1
TKT-00089,20250403,CUST-03916,General Inquiry,Low,72,2025-04-03,2025-04-03,11.3,0,3,1
TKT-00090,20241007,CUST-03614,Complaint,Medium,24,2024-10-07,2024-10-07,10.3,0,3,1
TKT-00091,20260213,CUST-04072,Technical/Pump,Medium,24,2026-02-13,2026-02-14,27.8,0,3,0
TKT-00092,20250916,CUST-00192,Technical/Pump,Medium,24,2025-09-16,2025-09-21,120.0,1,3,0
TKT-00093,20251227,CUST-02437,Technical/Pump,Medium,24,2025-12-27,2025-12-27,19.6,0,3,1
TKT-00094,20250722,CUST-03056,Technical/Pump,Low,72,2025-07-22,2025-07-22,1.0,1,4,1
TKT-00095,20251122,CUST-04323,Complaint,Medium,24,2025-11-22,2025-11-22,10.0,1,4,1
TKT-00096,20231128,CUST-02312,Billing/Payment,Medium,24,2023-11-28,2023-11-28,18.3,1,4,1
TKT-00097,20250315,CUST-00429,Billing/Payment,Low,72,2025-03-15,2025-03-16,41.6,1,4,1
TKT-00098,20251211,CUST-01415,Technical/Pump,Medium,24,2025-12-11,2025-12-12,30.4,1,1,0
TKT-00099,20260124,CUST-03988,Warranty,Medium,24,2026-01-24,2026-01-24,9.7,0,4,1
TKT-00100,20240516,CUST-00937,Technical/Pump,Medium,24,2024-05-16,2024-05-16,2.7,1,3,1
TKT-00101,20230803,CUST-03699,Technical/Pump,Medium,24,2023-08-03,2023-08-03,13.7,0,4,1
TKT-00102,20240525,CUST-04025,Billing/Payment,Medium,24,2024-05-25,2024-05-26,29.7,0,5,0
TKT-00103,20260212,CUST-00692,Installation,Medium,24,2026-02-12,2026-02-12,2.1,1,4,1
TKT-00104,20250424,CUST-02562,Billing/Payment,Low,72,2025-04-24,2025-04-24,2.1,0,4,1
TKT-00105,20250509,CUST-03467,Technical/Pump,Medium,24,2025-05-09,2025-05-09,16.2,1,3,1
TKT-00106,20230706,CUST-01238,Technical/Pump,High,4,2023-07-06,2023-07-08,60.1,0,3,0
TKT-00107,20240524,CUST-01685,General Inquiry,Medium,24,2024-05-24,2024-05-24,9.1,0,4,1
TKT-00108,20241106,CUST-02267,Warranty,Low,72,2024-11-06,2024-11-07,40.5,0,4,1
TKT-00109,20250706,CUST-02641,Complaint,Medium,24,2025-07-06,2025-07-06,9.7,1,5,1
TKT-00110,20251204,CUST-01825,Complaint,Medium,24,2025-12-04,2025-12-04,9.9,0,2,1
TKT-00111,20260219,CUST-03980,Billing/Payment,Low,72,2026-02-19,2026-02-19,8.6,0,3,1
TKT-00112,20230620,CUST-01603,Installation,Low,72,2023-06-20,2023-06-20,0.6,1,4,1
TKT-00113,20240711,CUST-02082,Technical/Pump,High,4,2024-07-11,2024-07-11,2.0,1,3,1
TKT-00114,20240426,CUST-04737,Installation,Medium,24,2024-04-26,2024-04-26,14.2,1,4,1
TKT-00115,20240309,CUST-03290,Technical/Pump,Low,72,2024-03-09,2024-03-09,8.4,0,3,1
TKT-00116,20260310,CUST-02511,Technical/Pump,Low,72,2026-03-10,2026-03-12,60.8,1,4,1
TKT-00117,20250522,CUST-02654,Technical/Pump,Medium,24,2025-05-22,2025-05-22,16.3,0,4,1
TKT-00118,20241222,CUST-04250,Billing/Payment,Medium,24,2024-12-22,2024-12-23,25.3,0,3,0
TKT-00119,20260104,CUST-03112,Technical/Pump,Medium,24,2026-01-04,2026-01-04,22.9,0,4,1
TKT-00120,20251031,CUST-02213,Technical/Pump,Low,72,2025-10-31,2025-10-31,5.4,1,3,1
TKT-00121,20240827,CUST-04804,Technical/Pump,Medium,24,2024-08-27,2024-08-28,29.3,0,3,0
TKT-00122,20260203,CUST-03262,Technical/Pump,Medium,24,2026-02-03,2026-02-03,8.0,1,4,1
TKT-00123,20241229,CUST-04800,Installation,Medium,24,2024-12-29,2024-12-29,4.8,0,5,1
TKT-00124,20260103,CUST-04924,General Inquiry,Medium,24,2026-01-03,2026-01-03,17.6,1,3,1
TKT-00125,20251120,CUST-01514,Warranty,Medium,24,2025-11-20,2025-11-20,0.5,1,5,1
TKT-00126,20250904,CUST-04190,Installation,High,4,2025-09-04,2025-09-04,2.3,0,4,1
TKT-00127,20250827,CUST-00566,Technical/Pump,Low,72,2025-08-27,2025-08-27,4.8,1,3,1
TKT-00128,20250125,CUST-00506,Technical/Pump,Medium,24,2025-01-25,2025-01-25,2.2,1,4,1
TKT-00129,20241115,CUST-02601,Installation,Medium,24,2024-11-15,2024-11-16,31.0,0,3,0
TKT-00130,20240919,CUST-01751,Technical/Pump,Low,72,2024-09-19,2024-09-19,21.5,1,5,1
TKT-00131,20240504,CUST-04908,Technical/Pump,Medium,24,2024-05-04,2024-05-04,8.0,0,3,1
TKT-00132,20260409,CUST-03868,Technical/Pump,Medium,24,2026-04-09,2026-04-09,21.0,0,4,1
TKT-00133,20251106,CUST-02690,Warranty,Medium,24,2025-11-06,2025-11-07,25.6,0,3,0
TKT-00134,20250109,CUST-04886,Billing/Payment,Medium,24,2025-01-09,2025-01-09,1.2,1,3,1
TKT-00135,20250723,CUST-00737,Complaint,Medium,24,2025-07-23,2025-07-23,8.9,0,4,1
TKT-00136,20250209,CUST-00805,Installation,Medium,24,2025-02-09,2025-02-09,6.2,1,2,1
TKT-00137,20241114,CUST-00571,Billing/Payment,Medium,24,2024-11-14,2024-11-18,99.4,0,5,0
TKT-00138,20250721,CUST-04067,Billing/Payment,Medium,24,2025-07-21,2025-07-21,4.9,0,3,1
TKT-00139,20240617,CUST-04477,General Inquiry,Low,72,2024-06-17,2024-06-18,25.3,1,4,1
TKT-00140,20250720,CUST-03683,Complaint,Medium,24,2025-07-20,2025-07-21,29.9,1,4,0
TKT-00141,20250401,CUST-04479,General Inquiry,Medium,24,2025-04-01,2025-04-02,42.9,1,3,0
TKT-00142,20251021,CUST-00566,Billing/Payment,Medium,24,2025-10-21,2025-10-22,28.7,1,4,0
TKT-00143,20250717,CUST-01317,Billing/Payment,Low,72,2025-07-17,2025-07-17,1.2,1,3,1
TKT-00144,20251122,CUST-04564,Installation,Medium,24,2025-11-22,2025-11-22,2.2,1,3,1
TKT-00145,20250716,CUST-00145,Complaint,High,4,2025-07-16,,0.8,0,,0
TKT-00146,20230522,CUST-04960,Installation,Medium,24,2023-05-22,2023-05-22,6.3,0,2,1
TKT-00147,20230918,CUST-02801,Complaint,Medium,24,2023-09-18,2023-09-18,9.6,0,3,1
TKT-00148,20251117,CUST-04346,Complaint,Low,72,2025-11-17,2025-11-17,0.5,0,4,1
TKT-00149,20241224,CUST-01061,Technical/Pump,Medium,24,2024-12-24,2024-12-24,5.8,0,4,1
TKT-00150,20260331,CUST-03641,Technical/Pump,Medium,24,2026-03-31,2026-03-31,14.6,1,4,1
TKT-00151,20231207,CUST-01091,Installation,High,4,2023-12-07,2023-12-08,38.9,1,4,0
TKT-00152,20240513,CUST-00632,Billing/Payment,Medium,24,2024-05-13,2024-05-14,24.9,1,4,0
TKT-00153,20241208,CUST-03671,Warranty,High,4,2024-12-08,2024-12-08,2.4,1,3,1
TKT-00154,20240502,CUST-02362,Warranty,Medium,24,2024-05-02,2024-05-02,7.5,1,3,1
TKT-00155,20251205,CUST-02519,Complaint,Medium,24,2025-12-05,2025-12-05,15.4,1,4,1
TKT-00156,20250811,CUST-00195,Billing/Payment,Medium,24,2025-08-11,2025-08-11,7.9,1,3,1
TKT-00157,20230522,CUST-01388,Technical/Pump,Medium,24,2023-05-22,2023-05-22,11.8,0,4,1
TKT-00158,20250921,CUST-01760,Billing/Payment,Low,72,2025-09-21,2025-09-21,8.7,1,2,1
TKT-00159,20240109,CUST-02364,Technical/Pump,Low,72,2024-01-09,2024-01-09,18.6,0,3,1
TKT-00160,20251110,CUST-00495,Installation,Low,72,2025-11-10,2025-11-10,12.5,0,5,1
TKT-00161,20251025,CUST-01619,Billing/Payment,Medium,24,2025-10-25,2025-10-25,9.5,0,3,1
TKT-00162,20250412,CUST-01018,Complaint,Low,72,2025-04-12,2025-04-12,13.9,1,4,1
TKT-00163,20231204,CUST-00503,Technical/Pump,Medium,24,2023-12-04,2023-12-04,3.4,0,4,1
TKT-00164,20230830,CUST-01180,Technical/Pump,Medium,24,2023-08-30,2023-08-30,8.2,0,4,1
TKT-00165,20240816,CUST-02939,Billing/Payment,Low,72,2024-08-16,2024-08-16,5.6,0,4,1
TKT-00166,20230404,CUST-02620,Technical/Pump,Low,72,2023-04-04,2023-04-07,79.4,0,3,0
TKT-00167,20250801,CUST-02740,Installation,Medium,24,2025-08-01,2025-08-02,32.3,1,3,0
TKT-00168,20241001,CUST-00991,Billing/Payment,Low,72,2024-10-01,,8.3,0,,0
TKT-00169,20260203,CUST-00726,Technical/Pump,Medium,24,2026-02-03,2026-02-03,0.5,1,2,1
TKT-00170,20240902,CUST-02584,Billing/Payment,High,4,2024-09-02,2024-09-04,54.1,0,5,0
TKT-00171,20240902,CUST-02618,General Inquiry,Medium,24,2024-09-02,2024-09-03,32.3,1,3,0
TKT-00172,20241208,CUST-02753,Billing/Payment,Medium,24,2024-12-08,2024-12-08,14.5,0,3,1
TKT-00173,20250523,CUST-00352,General Inquiry,Medium,24,2025-05-23,2025-05-23,4.2,1,3,1
TKT-00174,20240721,CUST-02429,General Inquiry,High,4,2024-07-21,2024-07-21,10.7,1,1,0
TKT-00175,20240804,CUST-03028,Technical/Pump,Medium,24,2024-08-04,2024-08-04,18.6,0,4,1
TKT-00176,20240615,CUST-02588,Installation,Low,72,2024-06-15,2024-06-15,11.6,0,3,1
TKT-00177,20241001,CUST-01223,Technical/Pump,Medium,24,2024-10-01,2024-10-02,27.5,1,3,0
TKT-00178,20250924,CUST-03540,Billing/Payment,Medium,24,2025-09-24,2025-09-24,1.7,1,4,1
TKT-00179,20251031,CUST-04609,Technical/Pump,Medium,24,2025-10-31,2025-11-01,24.0,1,4,1
TKT-00180,20241122,CUST-03901,Installation,High,4,2024-11-22,2024-11-22,12.5,1,4,0
TKT-00181,20240104,CUST-00407,Warranty,Low,72,2024-01-04,2024-01-04,0.5,1,5,1
TKT-00182,20250919,CUST-02131,Installation,Medium,24,2025-09-19,2025-09-19,19.3,1,4,1
TKT-00183,20260112,CUST-02118,General Inquiry,Low,72,2026-01-12,2026-01-14,50.7,0,2,1
TKT-00184,20251115,CUST-01026,Installation,Low,72,2025-11-15,2025-11-15,0.8,0,4,1
TKT-00185,20250708,CUST-01245,Installation,Low,72,2025-07-08,2025-07-08,4.5,0,4,1
TKT-00186,20250915,CUST-04716,Technical/Pump,Low,72,2025-09-15,2025-09-15,7.0,1,4,1
TKT-00187,20260325,CUST-01380,Technical/Pump,Medium,24,2026-03-25,2026-03-26,31.1,1,4,0
TKT-00188,20240330,CUST-03439,Technical/Pump,Medium,24,2024-03-30,2024-03-30,1.3,0,5,1
TKT-00189,20250823,CUST-01302,Billing/Payment,High,4,2025-08-23,2025-08-24,28.6,0,4,0
TKT-00190,20241204,CUST-04409,Warranty,Medium,24,2024-12-04,2024-12-06,68.0,1,3,0
TKT-00191,20240528,CUST-01964,Billing/Payment,Medium,24,2024-05-28,2024-05-28,4.6,1,5,1
TKT-00192,20250719,CUST-04266,Billing/Payment,High,4,2025-07-19,2025-07-19,8.4,1,4,0
TKT-00193,20230605,CUST-03587,Complaint,Medium,24,2023-06-05,2023-06-05,7.6,0,4,1
TKT-00194,20250409,CUST-03622,Technical/Pump,Low,72,2025-04-09,2025-04-09,9.5,0,4,1
TKT-00195,20250329,CUST-01654,Billing/Payment,Medium,24,2025-03-29,2025-03-29,4.3,1,3,1
TKT-00196,20250704,CUST-00690,Warranty,Medium,24,2025-07-04,2025-07-04,11.5,1,4,1
TKT-00197,20240128,CUST-00560,Technical/Pump,Medium,24,2024-01-28,2024-01-28,3.8,1,4,1
TKT-00198,20241209,CUST-04653,General Inquiry,Medium,24,2024-12-09,2024-12-09,5.6,1,3,1
TKT-00199,20250823,CUST-00311,Installation,Low,72,2025-08-23,2025-08-23,14.6,0,5,1
TKT-00200,20251118,CUST-04406,Billing/Payment,Medium,24,2025-11-18,2025-11-18,9.7,0,3,1
TKT-00201,20250331,CUST-01315,Billing/Payment,Medium,24,2025-03-31,2025-03-31,5.2,0,4,1
TKT-00202,20251211,CUST-04597,General Inquiry,Medium,24,2025-12-11,2025-12-11,23.0,1,4,1
TKT-00203,20241224,CUST-04191,Technical/Pump,Medium,24,2024-12-24,2024-12-25,38.8,0,3,0
TKT-00204,20240920,CUST-00486,Warranty,Low,72,2024-09-20,2024-09-21,39.7,1,4,1
TKT-00205,20240913,CUST-02474,Billing/Payment,Medium,24,2024-09-13,2024-09-13,0.6,1,3,1
TKT-00206,20240721,CUST-03288,Technical/Pump,Low,72,2024-07-21,2024-07-21,13.5,1,4,1
TKT-00207,20240601,CUST-02553,Complaint,Low,72,2024-06-01,2024-06-01,3.3,1,2,1
TKT-00208,20250922,CUST-01256,Billing/Payment,Low,72,2025-09-22,2025-09-22,15.3,0,3,1
TKT-00209,20260424,CUST-04546,Billing/Payment,Medium,24,2026-04-24,2026-04-24,5.4,1,2,1
TKT-00210,20250908,CUST-00094,Warranty,Low,72,2025-09-08,2025-09-09,28.5,0,5,1
TKT-00211,20230917,CUST-00984,Warranty,High,4,2023-09-17,2023-09-17,15.4,1,3,0
TKT-00212,20230501,CUST-00811,Billing/Payment,Medium,24,2023-05-01,2023-05-01,0.5,0,3,1
TKT-00213,20251007,CUST-04897,Installation,Medium,24,2025-10-07,2025-10-07,16.5,1,4,1
TKT-00214,20250405,CUST-01202,Installation,High,4,2025-04-05,2025-04-05,18.2,0,3,0
TKT-00215,20241015,CUST-03978,Installation,Low,72,2024-10-15,2024-10-16,35.7,0,3,1
TKT-00216,20240126,CUST-02323,Installation,Low,72,2024-01-26,2024-01-26,11.2,1,3,1
TKT-00217,20241027,CUST-03300,Billing/Payment,Low,72,2024-10-27,2024-10-28,39.1,1,3,1
TKT-00218,20230527,CUST-00029,Technical/Pump,Medium,24,2023-05-27,2023-05-27,2.5,1,3,1
TKT-00219,20250218,CUST-03272,Billing/Payment,Low,72,2025-02-18,2025-02-18,1.3,0,4,1
TKT-00220,20251106,CUST-03129,Technical/Pump,Low,72,2025-11-06,2025-11-06,3.7,1,4,1
TKT-00221,20250616,CUST-01612,General Inquiry,Low,72,2025-06-16,2025-06-17,25.1,1,4,1
TKT-00222,20250517,CUST-01461,Complaint,Low,72,2025-05-17,2025-05-17,21.2,0,4,1
TKT-00223,20230215,CUST-04331,Technical/Pump,High,4,2023-02-15,2023-02-15,0.5,0,4,1
TKT-00224,20260213,CUST-00749,Installation,Medium,24,2026-02-13,2026-02-13,9.6,0,2,1
TKT-00225,20241004,CUST-04785,Complaint,Medium,24,2024-10-04,2024-10-06,51.0,1,4,0
TKT-00226,20230702,CUST-03888,Complaint,High,4,2023-07-02,,7.6,0,,0
TKT-00227,20240504,CUST-04407,Installation,Low,72,2024-05-04,2024-05-04,16.3,0,3,1
TKT-00228,20230422,CUST-01074,Technical/Pump,Low,72,2023-04-22,2023-04-22,18.7,0,3,1
TKT-00229,20230528,CUST-01259,Warranty,Low,72,2023-05-28,2023-05-28,3.7,0,4,1
TKT-00230,20240215,CUST-02285,Billing/Payment,Medium,24,2024-02-15,2024-02-15,7.5,0,3,1
TKT-00231,20260122,CUST-00688,General Inquiry,Low,72,2026-01-22,2026-01-22,10.8,1,5,1
TKT-00232,20250830,CUST-00541,Installation,Low,72,2025-08-30,2025-08-30,16.8,0,5,1
TKT-00233,20250611,CUST-03475,Technical/Pump,High,4,2025-06-11,2025-06-11,13.2,0,4,0
TKT-00234,20250831,CUST-04526,General Inquiry,Medium,24,2025-08-31,2025-08-31,15.0,1,4,1
TKT-00235,20240905,CUST-00669,General Inquiry,Low,72,2024-09-05,2024-09-05,12.8,0,3,1
TKT-00236,20240204,CUST-01031,Warranty,Low,72,2024-02-04,2024-02-05,42.7,1,3,1
TKT-00237,20230731,CUST-04629,Billing/Payment,Medium,24,2023-07-31,2023-07-31,5.3,1,3,1
TKT-00238,20250526,CUST-02796,Technical/Pump,Medium,24,2025-05-26,2025-05-26,21.5,1,3,1
TKT-00239,20241014,CUST-01224,Complaint,Medium,24,2024-10-14,2024-10-15,46.4,1,4,0
TKT-00240,20250129,CUST-01799,Warranty,Medium,24,2025-01-29,2025-01-29,10.4,0,3,1
TKT-00241,20230612,CUST-00369,Warranty,High,4,2023-06-12,2023-06-12,9.1,0,3,0
TKT-00242,20240224,CUST-02663,Warranty,Low,72,2024-02-24,2024-02-24,2.7,1,5,1
TKT-00243,20250427,CUST-02425,Warranty,High,4,2025-04-27,2025-04-27,4.6,1,4,0
TKT-00244,20230903,CUST-03943,Technical/Pump,High,4,2023-09-03,2023-09-04,37.0,1,4,0
TKT-00245,20250521,CUST-02711,Installation,Low,72,2025-05-21,2025-05-21,9.0,1,5,1
TKT-00246,20241208,CUST-01795,Complaint,Low,72,2024-12-08,2024-12-08,6.1,0,4,1
TKT-00247,20240229,CUST-02206,Billing/Payment,Low,72,2024-02-29,2024-02-29,19.9,0,4,1
TKT-00248,20260413,CUST-00459,Installation,Low,72,2026-04-13,2026-04-13,16.6,1,5,1
TKT-00249,20240826,CUST-03579,Installation,Low,72,2024-08-26,2024-08-26,5.9,1,3,1
TKT-00250,20260218,CUST-00124,General Inquiry,Low,72,2026-02-18,2026-02-18,23.8,0,2,1
TKT-00251,20250724,CUST-00788,Warranty,Medium,24,2025-07-24,2025-07-25,37.5,1,4,0
TKT-00252,20250216,CUST-00987,Complaint,Medium,24,2025-02-16,2025-02-17,41.7,0,4,0
TKT-00253,20240507,CUST-02189,Warranty,High,4,2024-05-07,2024-05-07,7.7,0,5,0
TKT-00254,20250504,CUST-02577,Billing/Payment,Low,72,2025-05-04,2025-05-04,5.1,0,4,1
TKT-00255,20241112,CUST-00235,Billing/Payment,High,4,2024-11-12,2024-11-12,15.4,0,5,0
TKT-00256,20250527,CUST-00744,Installation,Low,72,2025-05-27,2025-05-27,5.4,1,4,1
