CustMonthID,DateKey,CustomerID,IsActive,EngagementSegment,DeviceRuntimeHrs,WaterPumpedLitres,NPSScore,CSATScore,ChurnFlag,ChurnReason
54,20241231,CUST-00021,1,Active,8.1,2134,7,2,0,
55,20250131,CUST-00021,1,Active,5.7,1088,6,4,0,
56,20250228,CUST-00021,1,Highly Active,6.7,2299,4,5,0,
57,20250331,CUST-00021,1,Highly Active,4.8,1905,5,2,0,
58,20250430,CUST-00021,1,Active,6.4,1895,9,3,0,
59,20250531,CUST-00021,1,Highly Active,7.4,1041,7,3,0,
60,20250630,CUST-00021,1,Dormant,5.9,2248,7,4,0,
61,20250731,CUST-00021,1,Lapsed,6.8,1628,9,3,0,
62,20250831,CUST-00021,1,Lapsed,5.9,3390,5,4,0,
63,20250930,CUST-00021,1,Highly Active,7.1,2399,6,4,0,
64,20251031,CUST-00021,1,Highly Active,5.7,1220,7,3,0,
65,20251130,CUST-00021,1,Active,5.4,1152,7,5,0,
66,20251231,CUST-00021,1,Highly Active,7.5,1261,7,4,0,
67,20260131,CUST-00021,1,Active,9.2,2720,6,5,0,
68,20260228,CUST-00021,1,Highly Active,6.7,1351,4,5,0,
69,20260331,CUST-00021,1,Highly Active,5.4,2098,6,3,0,
70,20260430,CUST-00021,1,Lapsed,4.8,2271,7,5,0,
71,20250930,CUST-00031,1,Active,7.7,764,5,2,0,
72,20251031,CUST-00031,1,Lapsed,2.0,774,6,4,0,
73,20251130,CUST-00031,1,Lapsed,2.6,2646,6,4,0,
74,20251231,CUST-00031,1,Dormant,4.9,1751,8,3,0,
75,20260131,CUST-00031,1,Lapsed,7.1,1846,8,3,0,
76,20260228,CUST-00031,1,Active,7.4,1668,8,4,0,
77,20260331,CUST-00031,1,Active,9.8,2116,5,5,0,
78,20260430,CUST-00031,1,Active,5.8,2381,8,3,0,
79,20250430,CUST-00041,1,Highly Active,6.7,1422,7,3,0,
80,20250531,CUST-00041,1,Active,5.1,2001,6,3,0,
81,20250630,CUST-00041,1,Highly Active,3.0,3090,7,2,0,
82,20250731,CUST-00041,1,Highly Active,3.8,1611,10,4,0,
83,20250831,CUST-00041,1,Highly Active,5.2,1984,4,4,0,
84,20250930,CUST-00041,1,Active,5.0,907,8,4,0,
85,20251031,CUST-00041,1,Active,3.7,1629,5,5,0,
86,20251130,CUST-00041,1,Lapsed,6.2,1197,7,2,0,
87,20251231,CUST-00041,1,Highly Active,3.3,2037,6,3,0,
88,20260131,CUST-00041,1,Highly Active,10.0,2154,7,3,0,
89,20260228,CUST-00041,1,Highly Active,6.0,1502,6,4,0,
90,20260331,CUST-00041,1,Highly Active,5.7,1825,7,4,0,
91,20260430,CUST-00041,1,Active,3.5,1943,9,3,0,
92,20241231,CUST-00051,1,Highly Active,4.6,1854,3,4,0,
93,20250131,CUST-00051,1,Highly Active,6.3,2508,5,3,0,
94,20250228,CUST-00051,1,Highly Active,2.4,1429,5,3,0,
95,20250331,CUST-00051,1,Dormant,2.3,1550,8,3,0,
96,20250430,CUST-00051,1,Dormant,5.4,2457,6,4,0,
97,20250531,CUST-00051,1,Lapsed,3.3,2049,8,3,0,
98,20250630,CUST-00051,1,Active,5.7,1456,8,3,0,
99,20250731,CUST-00051,1,Active,4.6,2401,6,3,0,
100,20250831,CUST-00051,1,Lapsed,5.0,1073,4,5,0,
101,20250930,CUST-00051,1,Active,7.1,1719,6,3,0,
102,20251031,CUST-00051,1,Highly Active,5.5,2184,8,3,0,
103,20251130,CUST-00051,1,Active,7.2,1945,7,4,0,
104,20251231,CUST-00051,1,Active,8.1,1983,7,3,0,
105,20260131,CUST-00051,1,Active,2.9,1332,8,2,0,
106,20260228,CUST-00051,1,Active,5.5,1603,7,5,0,
107,20260331,CUST-00051,1,Active,7.3,2672,8,5,0,
108,20260430,CUST-00051,1,Lapsed,5.3,2421,6,5,0,
109,20240229,CUST-00061,1,Dormant,3.0,1951,7,4,0,
110,20240331,CUST-00061,1,Dormant,4.4,697,9,3,0,
111,20240430,CUST-00061,1,Highly Active,4.8,2297,4,2,0,
112,20240531,CUST-00061,1,Lapsed,6.1,1978,2,2,0,
113,20240630,CUST-00061,1,Highly Active,5.5,1830,4,5,0,
114,20240731,CUST-00061,1,Active,8.4,1182,9,3,0,
115,20240831,CUST-00061,1,Lapsed,4.5,2118,6,3,0,
116,20240930,CUST-00061,1,Highly Active,5.1,1195,5,4,0,
117,20241031,CUST-00061,1,Active,4.8,708,5,3,0,
118,20241130,CUST-00061,1,Highly Active,4.8,923,7,4,0,
119,20241231,CUST-00061,1,Active,7.1,1964,4,2,0,
120,20250131,CUST-00061,1,Lapsed,6.4,2230,3,3,0,
121,20250228,CUST-00061,1,Highly Active,5.8,1390,6,4,0,
122,20250331,CUST-00061,1,Active,6.5,902,6,4,0,
123,20250430,CUST-00061,1,Lapsed,9.8,1992,7,4,0,
124,20250531,CUST-00061,1,Active,5.4,1455,5,3,0,
125,20250630,CUST-00061,1,Dormant,4.9,2327,6,4,0,
126,20250731,CUST-00061,1,Active,4.5,2243,8,4,0,
127,20250831,CUST-00061,1,Active,5.2,1290,5,5,0,
128,20250930,CUST-00061,1,Active,8.7,1463,8,5,0,
129,20251031,CUST-00061,1,Highly Active,7.4,2633,7,4,0,
130,20251130,CUST-00061,1,Lapsed,8.1,2471,7,4,0,
131,20251231,CUST-00061,1,Dormant,5.0,1798,10,3,0,
132,20260131,CUST-00061,1,Highly Active,7.2,2310,4,4,0,
133,20260228,CUST-00061,1,Highly Active,9.1,3000,7,5,0,
134,20260331,CUST-00061,1,Lapsed,0.8,1914,2,4,0,
135,20260430,CUST-00061,1,Highly Active,6.2,2416,6,4,0,
136,20260228,CUST-00071,1,Dormant,5.9,1282,4,4,0,
137,20260331,CUST-00071,1,Highly Active,6.4,2262,5,3,0,
138,20260430,CUST-00071,1,Lapsed,5.3,1577,9,3,0,
139,20251130,CUST-00081,1,Highly Active,3.2,2513,4,4,0,
140,20251231,CUST-00081,1,Dormant,2.4,1875,4,3,0,
141,20260131,CUST-00081,1,Highly Active,0.0,2118,6,4,0,
142,20260228,CUST-00081,1,Highly Active,5.2,2716,5,5,0,
143,20260331,CUST-00081,1,Highly Active,4.7,1561,6,4,0,
144,20260430,CUST-00081,1,Lapsed,6.3,1998,9,3,0,
145,20231130,CUST-00091,1,Lapsed,9.4,1828,7,4,0,
146,20231231,CUST-00091,1,Highly Active,4.4,1297,7,4,0,
147,20240131,CUST-00091,1,Highly Active,3.7,1258,7,4,0,
148,20240229,CUST-00091,1,Highly Active,7.4,1064,1,4,0,
149,20240331,CUST-00091,1,Highly Active,4.7,1792,4,4,0,
150,20240430,CUST-00091,1,Lapsed,7.9,2551,6,3,0,
151,20240531,CUST-00091,1,Highly Active,4.2,2000,5,4,0,
152,20240630,CUST-00091,1,Highly Active,4.6,2362,5,3,0,
153,20240731,CUST-00091,1,Active,7.9,2702,4,4,0,
154,20240831,CUST-00091,1,Lapsed,3.4,1318,7,3,0,
155,20240930,CUST-00091,1,Lapsed,7.0,2375,8,4,0,
156,20241031,CUST-00091,1,Highly Active,6.0,1779,7,3,0,
157,20241130,CUST-00091,1,Highly Active,3.9,1699,3,4,0,
158,20241231,CUST-00091,1,Dormant,4.9,1534,7,3,0,
159,20250131,CUST-00091,1,Lapsed,5.8,2356,7,3,0,
160,20250228,CUST-00091,1,Lapsed,3.0,2623,4,4,0,
161,20250331,CUST-00091,1,Lapsed,5.6,1337,3,4,0,
162,20250430,CUST-00091,1,Lapsed,2.8,2017,5,4,0,
163,20250531,CUST-00091,1,Highly Active,6.5,1275,6,5,0,
164,20250630,CUST-00091,1,Highly Active,7.1,2031,6,4,0,
165,20250731,CUST-00091,1,Active,5.5,1947,5,3,0,
166,20250831,CUST-00091,1,Active,5.1,1955,6,4,0,
167,20250930,CUST-00091,1,Lapsed,4.3,594,7,4,0,
168,20251031,CUST-00091,1,Lapsed,5.8,2516,8,4,0,
169,20251130,CUST-00091,1,Highly Active,7.0,1451,6,3,0,
170,20251231,CUST-00091,1,Active,6.4,2346,6,4,0,
171,20260131,CUST-00091,1,Active,6.7,698,7,4,0,
172,20260228,CUST-00091,1,Active,7.7,1685,6,5,0,
173,20260331,CUST-00091,1,Highly Active,5.2,2519,8,3,0,
174,20260430,CUST-00091,1,Active,2.4,1424,10,4,0,
175,20251231,CUST-00101,1,Highly Active,2.7,1589,7,4,0,
176,20260131,CUST-00101,1,Active,7.7,586,5,4,0,
177,20260228,CUST-00101,1,Highly Active,4.7,1502,10,4,0,
178,20260331,CUST-00101,1,Lapsed,5.9,2482,4,4,0,
179,20260430,CUST-00101,1,Active,9.0,2499,5,4,0,
180,20240930,CUST-00111,1,Active,4.3,2481,3,4,0,
181,20241031,CUST-00111,1,Highly Active,5.7,1447,7,2,0,
182,20241130,CUST-00111,1,Active,9.7,2266,4,3,0,
183,20241231,CUST-00111,1,Highly Active,5.4,1381,4,3,0,
184,20250131,CUST-00111,0,Dormant,0.0,0,1,1,1,Financial hardship
185,20250228,CUST-00111,0,Dormant,0.0,0,6,1,0,
186,20250331,CUST-00111,0,Dormant,0.0,0,4,3,0,
187,20250430,CUST-00111,0,Dormant,0.0,0,0,1,0,
188,20250531,CUST-00111,0,Dormant,0.0,0,2,2,0,
189,20250630,CUST-00111,0,Dormant,0.0,0,0,2,0,
190,20250731,CUST-00111,0,Dormant,0.0,0,2,3,0,
191,20250831,CUST-00111,0,Dormant,0.0,0,1,1,0,
192,20250930,CUST-00111,0,Dormant,0.0,0,6,4,0,
193,20251031,CUST-00111,0,Dormant,0.0,0,2,3,0,
194,20251130,CUST-00111,0,Dormant,0.0,0,7,2,0,
195,20251231,CUST-00111,0,Dormant,0.0,0,5,4,0,
196,20260131,CUST-00111,0,Dormant,0.0,0,0,2,0,
197,20260228,CUST-00111,0,Dormant,0.0,0,2,2,0,
198,20260331,CUST-00111,0,Dormant,0.0,0,3,2,0,
199,20260430,CUST-00111,0,Dormant,0.0,0,1,2,0,
200,20260331,CUST-00121,1,Lapsed,3.7,1199,6,4,0,
201,20260430,CUST-00121,1,Active,8.4,2504,5,4,0,
202,20240630,CUST-00131,1,Active,5.0,2502,7,3,0,
203,20240731,CUST-00131,1,Highly Active,4.2,1529,6,3,0,
204,20240831,CUST-00131,1,Lapsed,5.6,1944,6,3,0,
205,20240930,CUST-00131,1,Lapsed,7.6,3041,6,4,0,
206,20241031,CUST-00131,1,Active,9.0,1106,8,5,0,
207,20241130,CUST-00131,1,Lapsed,4.8,2242,3,4,0,
208,20241231,CUST-00131,1,Highly Active,4.9,2658,7,2,0,
209,20250131,CUST-00131,1,Dormant,8.6,873,7,3,0,
210,20250228,CUST-00131,1,Highly Active,6.8,932,10,4,0,
211,20250331,CUST-00131,1,Active,7.0,1847,4,4,0,
212,20250430,CUST-00131,1,Lapsed,9.6,1592,5,4,0,
213,20250531,CUST-00131,1,Lapsed,3.6,1550,8,3,0,
214,20250630,CUST-00131,1,Active,6.0,1773,6,4,0,
215,20250731,CUST-00131,1,Highly Active,7.9,2154,5,4,0,
216,20250831,CUST-00131,1,Lapsed,5.1,2144,6,3,0,
217,20250930,CUST-00131,1,Highly Active,4.7,1776,6,5,0,
218,20251031,CUST-00131,1,Active,9.3,2393,8,4,0,
219,20251130,CUST-00131,1,Dormant,5.6,2514,8,3,0,
220,20251231,CUST-00131,1,Active,8.8,1604,10,4,0,
221,20260131,CUST-00131,1,Dormant,6.3,1669,5,4,0,
222,20260228,CUST-00131,1,Highly Active,7.5,1927,9,3,0,
223,20260331,CUST-00131,1,Active,6.0,1676,7,4,0,
224,20260430,CUST-00131,1,Dormant,4.4,1477,6,3,0,
225,20250831,CUST-00141,1,Lapsed,6.4,1889,6,4,0,
226,20250930,CUST-00141,1,Highly Active,6.7,2145,7,3,0,
227,20251031,CUST-00141,1,Active,6.2,1286,8,3,0,
228,20251130,CUST-00141,1,Lapsed,1.4,1501,5,2,0,
229,20251231,CUST-00141,1,Active,7.9,1856,8,4,0,
230,20260131,CUST-00141,1,Active,2.4,1824,7,4,0,
231,20260228,CUST-00141,1,Highly Active,6.4,3041,5,5,0,
232,20260331,CUST-00141,1,Lapsed,5.1,1890,10,3,0,
233,20260430,CUST-00141,1,Active,6.8,1522,10,3,0,
234,20250131,CUST-00151,1,Highly Active,2.4,1536,7,3,0,
235,20250228,CUST-00151,1,Dormant,4.0,1808,7,3,0,
236,20250331,CUST-00151,1,Active,8.3,1491,8,3,0,
237,20250430,CUST-00151,1,Highly Active,6.1,2122,7,5,0,
238,20250531,CUST-00151,1,Dormant,5.9,2534,3,4,0,
239,20250630,CUST-00151,1,Active,3.2,1097,5,4,0,
240,20250731,CUST-00151,1,Active,5.0,2533,7,3,0,
241,20250831,CUST-00151,1,Highly Active,1.1,1247,6,3,0,
242,20250930,CUST-00151,1,Lapsed,5.0,1957,3,3,0,
243,20251031,CUST-00151,1,Active,3.6,1695,8,3,0,
244,20251130,CUST-00151,1,Highly Active,3.6,1633,7,3,0,
245,20251231,CUST-00151,1,Active,4.2,1980,8,4,0,
246,20260131,CUST-00151,1,Highly Active,5.9,1745,10,5,0,
247,20260228,CUST-00151,1,Active,9.2,867,5,3,0,
248,20260331,CUST-00151,1,Lapsed,5.9,1730,10,4,0,
249,20260430,CUST-00151,1,Active,3.5,805,6,5,0,
250,20240630,CUST-00161,1,Active,4.7,1418,7,3,0,
251,20240731,CUST-00161,1,Lapsed,7.1,2069,7,4,0,
252,20240831,CUST-00161,1,Lapsed,6.9,1252,8,4,0,
253,20240930,CUST-00161,1,Highly Active,4.5,1643,8,4,0,
254,20241031,CUST-00161,1,Lapsed,8.2,1520,5,3,0,
255,20241130,CUST-00161,1,Active,10.0,3500,0,2,0,
256,20241231,CUST-00161,1,Active,3.3,1261,4,4,0,
257,20250131,CUST-00161,1,Highly Active,5.9,969,4,4,0,
258,20250228,CUST-00161,1,Highly Active,7.0,1846,8,4,0,
259,20250331,CUST-00161,1,Dormant,9.7,1976,5,4,0,
260,20250430,CUST-00161,1,Active,3.5,444,1,4,0,
261,20250531,CUST-00161,1,Active,3.8,2265,4,3,0,
262,20250630,CUST-00161,1,Active,7.8,1503,9,4,0,
263,20250731,CUST-00161,1,Active,4.3,563,10,3,0,
264,20250831,CUST-00161,1,Highly Active,8.9,715,5,2,0,
265,20250930,CUST-00161,1,Highly Active,5.5,1261,8,2,0,
266,20251031,CUST-00161,1,Highly Active,8.9,2044,7,4,0,
267,20251130,CUST-00161,1,Highly Active,5.8,1727,8,3,0,
268,20251231,CUST-00161,1,Lapsed,6.2,2188,8,3,0,
269,20260131,CUST-00161,1,Highly Active,9.0,1452,8,3,0,
270,20260228,CUST-00161,1,Active,9.2,834,10,3,0,
271,20260331,CUST-00161,1,Highly Active,5.9,2189,5,4,0,
272,20260430,CUST-00161,1,Active,8.7,2671,7,4,0,
273,20240131,CUST-00171,1,Active,5.0,2365,7,4,0,
274,20240229,CUST-00171,1,Highly Active,7.0,1762,5,3,0,
275,20240331,CUST-00171,1,Highly Active,6.9,1900,9,3,0,
276,20240430,CUST-00171,1,Highly Active,8.1,2228,7,4,0,
277,20240531,CUST-00171,1,Highly Active,5.9,2211,7,3,0,
278,20240630,CUST-00171,1,Active,4.8,1102,5,3,0,
279,20240731,CUST-00171,1,Active,5.2,1940,5,3,0,
280,20240831,CUST-00171,1,Lapsed,2.0,1315,5,5,0,
281,20240930,CUST-00171,1,Active,5.9,1494,10,4,0,
282,20241031,CUST-00171,1,Active,6.9,1599,4,3,0,
283,20241130,CUST-00171,1,Lapsed,7.9,39,9,4,0,
284,20241231,CUST-00171,1,Dormant,6.2,1616,8,4,0,
285,20250131,CUST-00171,1,Lapsed,6.1,752,5,5,0,
286,20250228,CUST-00171,1,Dormant,6.5,2491,7,3,0,
287,20250331,CUST-00171,1,Highly Active,6.4,2571,6,3,0,
288,20250430,CUST-00171,1,Highly Active,5.6,1261,6,4,0,
289,20250531,CUST-00171,1,Active,6.2,1655,7,4,0,
290,20250630,CUST-00171,1,Active,3.8,1679,8,4,0,
291,20250731,CUST-00171,1,Highly Active,6.9,1903,5,3,0,
292,20250831,CUST-00171,1,Dormant,7.2,1070,6,3,0,
293,20250930,CUST-00171,1,Active,1.3,2180,4,4,0,
294,20251031,CUST-00171,1,Active,5.7,1679,6,2,0,
295,20251130,CUST-00171,1,Active,4.7,2865,8,3,0,
296,20251231,CUST-00171,1,Active,6.2,2864,8,3,0,
297,20260131,CUST-00171,1,Active,8.5,1632,7,4,0,
298,20260228,CUST-00171,1,Active,8.1,2312,5,3,0,
299,20260331,CUST-00171,1,Lapsed,3.1,1428,8,4,0,
300,20260430,CUST-00171,1,Active,7.6,1192,3,3,0,
301,20251231,CUST-00181,1,Lapsed,4.3,2558,5,4,0,
302,20260131,CUST-00181,1,Active,8.1,1839,5,3,0,
303,20260228,CUST-00181,1,Active,8.6,1363,6,3,0,
304,20260331,CUST-00181,1,Lapsed,6.7,2027,9,4,0,
305,20260430,CUST-00181,1,Active,8.2,1385,8,2,0,
306,20240831,CUST-00191,1,Highly Active,3.9,1832,5,3,0,
307,20240930,CUST-00191,1,Lapsed,3.1,1330,8,4,0,
308,20241031,CUST-00191,1,Active,7.6,1582,6,4,0,
309,20241130,CUST-00191,1,Highly Active,5.1,1519,8,4,0,
310,20241231,CUST-00191,1,Dormant,4.4,3201,9,4,0,
311,20250131,CUST-00191,1,Active,6.7,2230,7,3,0,
312,20250228,CUST-00191,1,Lapsed,5.2,372,6,4,0,
313,20250331,CUST-00191,1,Highly Active,5.3,1139,8,4,0,
314,20250430,CUST-00191,1,Highly Active,4.2,1759,5,5,0,
315,20250531,CUST-00191,1,Highly Active,6.6,914,8,3,0,
316,20250630,CUST-00191,1,Dormant,7.6,2447,9,4,0,
317,20250731,CUST-00191,1,Active,6.9,1425,4,2,0,
318,20250831,CUST-00191,1,Highly Active,7.0,1454,6,5,0,
319,20250930,CUST-00191,1,Dormant,4.4,943,3,4,0,
320,20251031,CUST-00191,1,Dormant,6.0,1613,8,4,0,
321,20251130,CUST-00191,1,Active,7.8,1383,7,3,0,
322,20251231,CUST-00191,1,Highly Active,5.4,2797,10,4,0,
323,20260131,CUST-00191,1,Active,8.9,1707,6,4,0,
324,20260228,CUST-00191,1,Highly Active,10.0,368,6,4,0,
325,20260331,CUST-00191,1,Active,8.2,1775,4,3,0,
326,20260430,CUST-00191,1,Active,4.3,783,7,4,0,
327,20251130,CUST-00201,1,Lapsed,6.3,1295,7,4,0,
328,20251231,CUST-00201,1,Highly Active,5.3,2565,5,3,0,
329,20260131,CUST-00201,1,Dormant,1.6,1754,5,4,0,
330,20260228,CUST-00201,1,Active,6.3,1700,8,4,0,
331,20260331,CUST-00201,1,Active,8.3,1397,6,5,0,
332,20260430,CUST-00201,1,Active,0.9,2129,7,3,0,
333,20241231,CUST-00211,1,Lapsed,8.3,1721,7,4,0,
334,20250131,CUST-00211,1,Dormant,7.1,1461,3,4,0,
335,20250228,CUST-00211,1,Active,4.8,1434,6,4,0,
336,20250331,CUST-00211,1,Dormant,7.7,1731,5,3,0,
337,20250430,CUST-00211,1,Active,3.6,1626,6,3,0,
338,20250531,CUST-00211,1,Active,1.9,950,5,3,0,
339,20250630,CUST-00211,1,Highly Active,8.1,1934,9,4,0,
340,20250731,CUST-00211,1,Lapsed,7.8,2272,9,3,0,
341,20250831,CUST-00211,1,Highly Active,6.2,2775,6,3,0,
342,20250930,CUST-00211,1,Active,10.0,1432,4,3,0,
343,20251031,CUST-00211,1,Highly Active,4.8,2545,9,3,0,
344,20251130,CUST-00211,1,Lapsed,5.1,2682,10,3,0,
345,20251231,CUST-00211,1,Dormant,7.6,1152,7,3,0,
346,20260131,CUST-00211,1,Active,5.1,920,9,4,0,
347,20260228,CUST-00211,1,Active,7.8,1235,2,4,0,
348,20260331,CUST-00211,1,Lapsed,6.2,1259,7,4,0,
349,20260430,CUST-00211,1,Active,9.9,2531,10,4,0,
350,20251130,CUST-00221,1,Active,7.6,1474,3,3,0,
351,20251231,CUST-00221,1,Active,7.4,1763,4,4,0,
352,20260131,CUST-00221,1,Highly Active,4.2,583,4,3,0,
353,20260228,CUST-00221,1,Highly Active,8.2,1627,7,4,0,
354,20260331,CUST-00221,1,Active,10.0,1193,8,4,0,
355,20260430,CUST-00221,1,Highly Active,4.8,1431,7,3,0,
356,20260228,CUST-00231,1,Highly Active,10.0,2540,9,5,0,
357,20260331,CUST-00231,1,Dormant,6.2,1419,9,3,0,
358,20260430,CUST-00231,1,Highly Active,6.7,2167,7,4,0,
359,20251231,CUST-00241,1,Active,8.3,2238,7,3,0,
360,20260131,CUST-00241,1,Dormant,8.9,2071,6,4,0,
361,20260228,CUST-00241,1,Lapsed,6.1,1909,5,2,0,
362,20260331,CUST-00241,1,Dormant,3.0,740,6,3,0,
363,20260430,CUST-00241,1,Lapsed,7.5,2093,6,4,0,
364,20260131,CUST-00251,1,Lapsed,4.0,1519,4,4,0,
365,20260228,CUST-00251,1,Lapsed,8.5,1601,10,3,0,
366,20260331,CUST-00251,1,Lapsed,8.6,2410,4,5,0,
367,20260430,CUST-00251,1,Highly Active,7.6,1430,7,3,0,
368,20251231,CUST-00261,1,Active,7.0,1557,4,5,0,
369,20260131,CUST-00261,1,Lapsed,7.6,1977,5,4,0,
370,20260228,CUST-00261,1,Highly Active,5.3,1721,7,3,0,
371,20260331,CUST-00261,1,Lapsed,4.1,2282,6,4,0,
372,20260430,CUST-00261,1,Dormant,5.7,982,2,5,0,
373,20241130,CUST-00271,1,Active,7.3,2667,9,3,0,
374,20241231,CUST-00271,1,Highly Active,6.8,1590,6,3,0,
375,20250131,CUST-00271,1,Dormant,1.0,1775,8,3,0,
376,20250228,CUST-00271,1,Active,7.5,1502,7,3,0,
377,20250331,CUST-00271,1,Highly Active,5.2,2607,4,3,0,
378,20250430,CUST-00271,1,Lapsed,4.8,1875,7,3,0,
379,20250531,CUST-00271,1,Highly Active,7.4,1595,5,3,0,
380,20250630,CUST-00271,1,Lapsed,1.6,2136,7,4,0,
381,20250731,CUST-00271,1,Active,4.6,2450,6,4,0,
382,20250831,CUST-00271,1,Active,4.4,1327,5,4,0,
383,20250930,CUST-00271,1,Highly Active,6.8,3500,7,4,0,
384,20251031,CUST-00271,1,Lapsed,8.1,2315,7,4,0,
385,20251130,CUST-00271,1,Active,8.0,1694,2,3,0,
386,20251231,CUST-00271,1,Highly Active,5.5,3011,2,4,0,
387,20260131,CUST-00271,0,Dormant,0.0,0,3,3,1,Moved/sold farm
388,20260228,CUST-00271,0,Dormant,0.0,0,0,3,0,
389,20260331,CUST-00271,0,Dormant,0.0,0,4,4,0,
390,20260430,CUST-00271,0,Dormant,0.0,0,0,2,0,
391,20260131,CUST-00281,1,Lapsed,3.7,1070,5,3,0,
392,20260228,CUST-00281,1,Active,7.0,3239,5,3,0,
393,20260331,CUST-00281,1,Active,4.0,1790,10,4,0,
394,20260430,CUST-00281,1,Active,3.0,2044,6,4,0,
395,20241031,CUST-00291,1,Lapsed,7.4,2655,5,4,0,
396,20241130,CUST-00291,1,Active,5.1,2073,5,3,0,
397,20241231,CUST-00291,1,Highly Active,6.0,2007,10,4,0,
398,20250131,CUST-00291,1,Active,8.3,2751,3,3,0,
399,20250228,CUST-00291,1,Highly Active,3.7,1541,9,5,0,
400,20250331,CUST-00291,1,Highly Active,8.8,2143,3,4,0,
401,20250430,CUST-00291,1,Active,6.9,1534,7,4,0,
402,20250531,CUST-00291,1,Highly Active,4.4,1717,5,4,0,
403,20250630,CUST-00291,1,Active,10.0,1572,4,3,0,
404,20250731,CUST-00291,1,Active,7.5,2280,8,4,0,
405,20250831,CUST-00291,1,Highly Active,9.0,1662,6,4,0,
406,20250930,CUST-00291,1,Active,4.9,1632,10,4,0,
407,20251031,CUST-00291,1,Active,7.3,1722,8,3,0,
408,20251130,CUST-00291,1,Active,5.5,1683,5,4,0,
409,20251231,CUST-00291,1,Lapsed,5.4,2504,7,4,0,
410,20260131,CUST-00291,1,Highly Active,7.3,1180,10,3,0,
