DeviceDayID,DateKey,DeviceID,Status,AvgUptimePct,AvgRuntimeHrs,TotalWaterPumpedLitres,AvgFlowRateM3H,TotalSolarGenKWh,AvgBatterySoCPct,AvgSignalStrengthDBm,HeartbeatMissCount,AvgDataLatencyMs
57,20250930,DEV-00016,Online,99.0,5.7,1454,1.5,2.5,58,-79,1,167
58,20251031,DEV-00016,Online,87.4,5.1,1006,2.2,2.7,93,-91,1,280
59,20251130,DEV-00016,Online,97.9,4.9,985,2.0,2.6,55,-52,0,443
60,20251231,DEV-00016,Online,98.1,4.9,2855,2.0,2.8,54,-69,1,309
61,20260131,DEV-00016,Online,99.4,7.8,2296,3.7,2.8,67,-66,1,80
62,20260228,DEV-00016,Online,94.4,5.7,2505,2.2,2.8,75,-78,1,172
63,20260331,DEV-00016,Online,87.2,3.2,1887,3.8,1.9,69,-72,0,128
64,20260430,DEV-00016,Online,95.1,2.0,1776,2.5,2.1,44,-89,2,282
65,20250131,DEV-00021,Online,82.1,6.2,2255,3.4,3.7,52,-79,0,273
66,20250228,DEV-00021,Online,93.7,6.6,1938,2.3,3.6,79,-71,4,432
67,20250331,DEV-00021,Online,98.7,4.2,2010,2.5,1.8,57,-81,1,153
68,20250430,DEV-00021,Online,97.7,6.2,1499,2.8,2.0,65,-61,0,279
69,20250531,DEV-00021,Online,86.9,6.3,1048,2.6,1.5,60,-65,2,287
70,20250630,DEV-00021,Online,96.6,5.4,2639,2.9,3.0,70,-74,1,136
71,20250731,DEV-00021,Online,94.6,7.6,2846,3.2,2.8,51,-87,1,243
72,20250831,DEV-00021,Online,92.6,4.4,2266,2.9,2.3,68,-50,1,234
73,20250930,DEV-00021,Online,95.2,5.2,1109,2.1,3.0,51,-69,0,255
74,20251031,DEV-00021,Online,94.1,2.6,940,3.1,1.9,55,-91,2,373
75,20251130,DEV-00021,Online,81.6,6.4,2172,2.7,2.3,65,-77,1,156
76,20251231,DEV-00021,Online,93.9,4.4,739,2.4,2.4,82,-69,1,342
77,20260131,DEV-00021,Online,92.9,5.4,2325,2.6,2.9,74,-74,1,190
78,20260228,DEV-00021,Online,97.2,7.1,2429,3.2,2.8,65,-89,0,182
79,20260331,DEV-00021,Offline,60.0,7.8,1615,2.3,2.2,85,-79,0,342
80,20260430,DEV-00021,Online,91.8,3.7,1665,3.4,1.8,76,-71,0,276
81,20250131,DEV-00026,Degraded,58.2,6.4,2009,3.0,3.0,69,-61,0,195
82,20250228,DEV-00026,Online,96.0,7.8,1417,3.2,3.3,70,-93,1,483
83,20250331,DEV-00026,Online,95.6,5.6,1646,2.5,1.6,66,-64,1,233
84,20250430,DEV-00026,Online,95.2,6.0,1302,2.7,2.2,48,-85,1,217
85,20250531,DEV-00026,Online,94.9,4.6,1186,2.6,1.6,60,-73,0,272
86,20250630,DEV-00026,Online,95.9,7.5,1872,4.0,3.3,60,-71,1,332
87,20250731,DEV-00026,Online,91.1,7.7,2488,2.6,3.2,74,-63,0,329
88,20250831,DEV-00026,Online,99.9,7.0,1938,2.5,3.9,78,-86,0,367
89,20250930,DEV-00026,Online,90.8,6.0,2339,1.8,2.4,57,-79,0,134
90,20251031,DEV-00026,Online,98.7,2.7,1268,3.3,1.6,84,-61,2,309
91,20251130,DEV-00026,Online,95.7,4.6,630,2.6,2.2,60,-67,0,403
92,20251231,DEV-00026,Online,94.4,5.5,1961,1.5,3.0,60,-81,0,496
93,20260131,DEV-00026,Online,99.9,7.4,2015,3.1,3.0,52,-80,1,219
94,20260228,DEV-00026,Online,98.0,5.4,2137,3.2,3.3,56,-69,1,281
95,20260331,DEV-00026,Online,86.4,7.0,1562,3.3,1.3,57,-70,1,215
96,20260430,DEV-00026,Online,93.2,5.0,2248,2.6,2.7,65,-67,0,257
97,20250131,DEV-00031,Online,95.1,6.3,1159,2.3,2.9,79,-59,1,237
98,20250228,DEV-00031,Online,91.6,7.4,2707,2.4,3.7,62,-81,0,395
99,20250331,DEV-00031,Online,96.6,6.3,915,2.8,2.2,72,-55,0,221
100,20250430,DEV-00031,Online,97.1,4.1,1142,2.0,1.3,67,-64,0,128
101,20250531,DEV-00031,Degraded,56.0,4.6,1267,2.3,1.0,79,-59,0,221
102,20250630,DEV-00031,Online,96.4,7.7,2241,1.9,2.6,59,-73,0,177
103,20250731,DEV-00031,Online,99.3,5.9,2016,2.2,2.2,72,-75,3,433
104,20250831,DEV-00031,Online,93.6,5.7,2400,2.0,2.5,63,-65,0,156
105,20250930,DEV-00031,Online,96.1,7.1,1517,1.6,3.4,63,-64,0,211
106,20251031,DEV-00031,Online,91.9,3.9,1281,1.5,1.1,76,-78,1,254
107,20251130,DEV-00031,Online,96.1,6.2,1371,2.7,3.3,86,-77,1,265
108,20251231,DEV-00031,Online,92.9,7.3,1464,2.5,2.7,80,-71,2,381
109,20260131,DEV-00031,Online,88.3,5.8,2302,3.0,2.4,98,-75,1,222
110,20260228,DEV-00031,Online,90.1,6.7,2391,3.0,3.1,62,-63,1,359
111,20260331,DEV-00031,Online,99.9,5.5,1987,2.3,2.3,83,-74,1,429
112,20260430,DEV-00031,Online,93.7,5.6,1155,3.6,1.5,57,-59,2,250
113,20250131,DEV-00036,Online,89.8,4.5,2022,2.5,2.6,39,-50,5,420
114,20250228,DEV-00036,Degraded,62.8,6.0,2178,3.0,3.3,67,-65,1,310
115,20250331,DEV-00036,Online,88.0,3.9,1024,2.7,2.1,59,-59,1,454
116,20250430,DEV-00036,Online,94.8,2.8,1448,3.4,2.1,66,-84,1,299
117,20250531,DEV-00036,Online,91.9,4.6,925,2.6,2.3,52,-72,0,304
118,20250630,DEV-00036,Online,98.1,7.2,1751,2.9,3.0,65,-64,0,325
119,20250731,DEV-00036,Online,99.9,6.3,1903,3.5,2.8,50,-64,1,188
120,20250831,DEV-00036,Offline,53.4,7.4,2795,2.9,2.1,65,-66,4,237
121,20250930,DEV-00036,Online,91.6,6.7,868,2.7,3.7,71,-85,1,215
122,20251031,DEV-00036,Online,93.2,4.4,1168,2.5,1.9,63,-76,0,358
123,20251130,DEV-00036,Online,92.9,4.9,302,2.6,2.5,63,-84,1,249
124,20251231,DEV-00036,Online,91.1,4.5,976,3.5,2.5,58,-85,0,167
125,20260131,DEV-00036,Online,92.5,7.4,2147,2.9,2.8,66,-82,1,391
126,20260228,DEV-00036,Online,94.2,5.8,2127,3.2,2.4,60,-68,1,336
127,20260331,DEV-00036,Online,95.3,2.3,1625,3.1,1.7,47,-72,1,400
128,20260430,DEV-00036,Online,91.9,5.6,2439,2.7,1.9,57,-82,0,344
129,20250131,DEV-00041,Online,91.5,6.7,2310,3.1,2.9,63,-62,1,335
130,20250228,DEV-00041,Online,95.9,9.7,1607,2.3,2.2,53,-65,1,251
131,20250331,DEV-00041,Online,95.3,5.3,788,2.6,2.7,64,-74,0,488
132,20250430,DEV-00041,Online,99.9,7.1,1450,3.3,2.3,76,-62,1,290
133,20250531,DEV-00041,Degraded,60.2,4.7,1506,3.9,2.1,68,-78,0,224
134,20250630,DEV-00041,Online,94.5,7.0,2521,3.1,2.4,86,-65,0,332
135,20250731,DEV-00041,Online,90.3,5.0,2534,2.8,3.8,42,-73,1,195
136,20250831,DEV-00041,Online,94.8,8.7,1635,2.6,2.4,58,-75,0,272
137,20250930,DEV-00041,Online,94.0,4.2,1845,3.1,3.0,68,-68,0,492
138,20251031,DEV-00041,Degraded,52.0,4.5,1567,3.1,2.3,74,-66,0,168
139,20251130,DEV-00041,Online,85.8,6.1,2144,2.5,1.9,63,-83,1,124
140,20251231,DEV-00041,Online,98.5,4.9,1668,2.7,2.2,46,-95,2,197
141,20260131,DEV-00041,Online,99.9,6.0,2371,1.5,2.5,74,-69,1,202
142,20260228,DEV-00041,Online,89.1,6.3,1881,1.7,2.8,55,-68,1,283
143,20260331,DEV-00041,Online,95.2,4.5,745,2.2,2.7,85,-68,0,316
144,20260430,DEV-00041,Online,99.9,3.4,1823,3.0,2.2,77,-65,1,153
145,20250131,DEV-00046,Online,92.8,6.9,2548,2.6,3.0,57,-81,1,439
146,20250228,DEV-00046,Online,96.1,7.2,745,2.5,3.6,87,-72,0,390
147,20250331,DEV-00046,Online,98.4,5.5,1550,2.3,1.9,63,-50,1,106
148,20250430,DEV-00046,Online,89.2,5.4,1365,2.9,2.2,78,-66,1,319
149,20250531,DEV-00046,Online,92.8,5.8,1135,3.5,1.7,58,-66,1,453
150,20250630,DEV-00046,Online,97.6,8.5,2011,2.1,3.3,77,-64,1,80
151,20250731,DEV-00046,Online,94.1,5.6,2492,2.3,2.9,76,-71,1,199
152,20250831,DEV-00046,Online,93.9,7.1,2225,4.0,3.5,47,-73,1,218
153,20250930,DEV-00046,Online,98.2,4.6,1562,2.4,3.7,62,-63,1,394
154,20251031,DEV-00046,Online,96.6,3.8,1019,3.0,2.3,49,-83,1,284
155,20251130,DEV-00046,Online,94.8,5.4,2096,3.2,1.8,70,-79,0,256
156,20251231,DEV-00046,Online,88.0,4.3,1018,2.7,2.3,82,-72,3,268
157,20260131,DEV-00046,Online,98.5,7.1,3029,2.6,2.8,65,-81,1,119
158,20260228,DEV-00046,Online,96.4,6.1,1644,2.9,2.3,92,-79,2,236
159,20260331,DEV-00046,Online,91.6,4.9,1336,1.8,2.5,88,-72,0,83
160,20260430,DEV-00046,Online,93.8,4.7,540,3.7,1.3,54,-75,2,171
161,20250131,DEV-00051,Online,88.0,6.5,1787,3.2,3.4,58,-72,1,260
162,20250228,DEV-00051,Online,99.9,7.0,2387,2.8,2.9,71,-65,0,442
163,20250331,DEV-00051,Online,95.8,7.0,2565,1.7,1.4,62,-78,2,325
164,20250430,DEV-00051,Online,87.1,5.6,1010,3.7,2.3,71,-78,1,348
165,20250531,DEV-00051,Online,94.1,6.5,1459,1.5,1.7,62,-94,1,258
166,20250630,DEV-00051,Online,96.8,7.9,1864,2.4,2.9,69,-60,1,151
167,20250731,DEV-00051,Online,94.1,8.9,1362,2.6,2.3,55,-75,0,341
168,20250831,DEV-00051,Online,99.9,7.2,2905,3.2,2.7,82,-67,2,374
169,20250930,DEV-00051,Online,95.1,5.0,1039,4.0,2.7,78,-72,2,266
170,20251031,DEV-00051,Online,89.6,4.0,1527,3.6,2.4,82,-65,1,333
171,20251130,DEV-00051,Online,90.5,5.6,1584,3.2,1.3,72,-66,2,182
172,20251231,DEV-00051,Online,99.9,4.4,1871,3.9,3.6,66,-70,1,249
173,20260131,DEV-00051,Online,94.3,8.1,2558,3.2,3.6,58,-66,3,334
174,20260228,DEV-00051,Online,90.4,6.3,2343,2.5,2.7,54,-86,2,383
175,20260331,DEV-00051,Online,92.8,3.2,1891,2.8,2.1,73,-91,0,360
176,20260430,DEV-00051,Online,86.9,7.0,700,3.6,1.0,83,-68,0,307
177,20250131,DEV-00056,Online,91.2,7.0,2093,2.8,2.6,75,-91,2,92
178,20250228,DEV-00056,Online,93.1,8.6,1916,3.5,2.3,57,-63,0,229
179,20250331,DEV-00056,Online,96.8,6.8,1198,1.5,1.0,84,-72,1,368
180,20250430,DEV-00056,Online,96.2,4.8,1722,3.1,1.8,63,-68,0,188
181,20250531,DEV-00056,Online,94.3,5.6,811,2.6,2.1,64,-87,0,142
182,20250630,DEV-00056,Online,91.6,6.0,1887,1.7,2.7,60,-71,0,251
183,20250731,DEV-00056,Online,88.9,6.4,2473,3.9,3.3,68,-64,0,359
184,20250831,DEV-00056,Online,94.6,6.7,2192,3.3,2.1,42,-63,0,239
185,20250930,DEV-00056,Online,93.3,4.2,1072,2.6,3.5,75,-52,1,185
186,20251031,DEV-00056,Online,95.9,2.7,803,2.5,2.0,76,-81,6,191
187,20251130,DEV-00056,Online,95.7,5.4,983,2.8,2.3,78,-66,1,207
188,20251231,DEV-00056,Online,87.4,6.7,1480,3.5,2.9,83,-76,1,310
189,20260131,DEV-00056,Online,93.2,7.5,1086,3.6,3.2,60,-79,0,307
190,20260228,DEV-00056,Online,93.8,7.3,2198,2.8,2.9,85,-59,1,122
191,20260331,DEV-00056,Online,89.6,5.7,1612,2.6,2.7,73,-67,0,220
192,20260430,DEV-00056,Online,93.7,4.8,1379,2.2,2.2,76,-63,1,295
193,20250131,DEV-00061,Online,97.3,6.6,2424,1.5,2.6,98,-62,1,330
194,20250228,DEV-00061,Online,97.8,6.2,2741,4.0,3.5,72,-74,0,253
195,20250331,DEV-00061,Degraded,54.8,7.7,1865,2.9,2.0,73,-84,0,279
196,20250430,DEV-00061,Online,92.9,5.5,720,2.3,2.5,96,-64,0,249
197,20250531,DEV-00061,Online,98.7,3.4,1919,2.7,2.5,32,-73,1,347
198,20250630,DEV-00061,Online,91.3,7.4,1652,2.7,3.0,68,-77,3,375
199,20250731,DEV-00061,Online,89.0,7.8,1851,2.2,2.6,47,-71,2,139
200,20250831,DEV-00061,Online,92.4,8.2,1859,3.1,3.1,64,-74,0,165
201,20250930,DEV-00061,Online,91.9,6.5,1065,3.8,2.9,62,-60,0,236
202,20251031,DEV-00061,Online,88.9,6.3,2555,3.2,1.9,70,-86,2,115
203,20251130,DEV-00061,Online,98.0,7.1,538,3.0,1.7,68,-61,0,205
204,20251231,DEV-00061,Online,94.7,5.2,941,2.9,2.7,81,-66,0,223
205,20260131,DEV-00061,Online,87.5,6.9,1727,2.7,2.3,70,-83,1,338
206,20260228,DEV-00061,Online,93.2,6.4,2023,3.7,3.3,58,-55,1,362
207,20260331,DEV-00061,Degraded,56.9,5.9,815,2.7,2.5,61,-59,0,428
208,20260430,DEV-00061,Online,94.7,6.6,1572,3.8,1.3,74,-79,1,225
209,20250131,DEV-00066,Online,87.8,5.3,2128,3.7,3.3,90,-88,1,224
210,20250228,DEV-00066,Online,95.6,5.7,3192,2.9,2.3,81,-89,0,361
211,20250331,DEV-00066,Online,93.1,3.8,1625,3.5,2.5,85,-62,1,332
212,20250430,DEV-00066,Online,96.6,5.1,1217,2.4,2.3,64,-59,2,371
213,20250531,DEV-00066,Offline,59.5,5.9,1458,2.7,2.5,60,-69,0,291
214,20250630,DEV-00066,Online,97.1,8.3,3021,2.3,2.4,53,-72,0,281
215,20250731,DEV-00066,Online,89.4,4.6,1634,2.8,3.1,98,-79,2,308
216,20250831,DEV-00066,Offline,65.9,7.0,2704,2.4,3.2,64,-83,2,200
217,20250930,DEV-00066,Offline,58.6,4.1,2443,2.7,2.2,60,-61,0,248
218,20251031,DEV-00066,Online,93.2,4.9,2143,2.6,2.4,86,-85,4,191
219,20251130,DEV-00066,Online,84.9,5.8,1696,2.4,1.7,64,-72,0,310
220,20251231,DEV-00066,Online,96.1,5.7,1566,3.0,2.8,72,-94,2,300
221,20260131,DEV-00066,Online,97.0,6.7,2345,2.3,3.3,44,-70,0,322
222,20260228,DEV-00066,Online,90.8,9.9,1546,1.9,2.9,67,-94,1,403
223,20260331,DEV-00066,Online,97.6,5.0,1188,3.4,1.8,73,-68,0,130
224,20260430,DEV-00066,Offline,59.7,5.7,1274,3.3,1.7,70,-72,0,393
225,20250131,DEV-00071,Online,91.6,5.1,2509,3.3,3.9,55,-64,1,374
226,20250228,DEV-00071,Online,92.6,5.7,2307,2.7,3.5,72,-76,2,404
227,20250331,DEV-00071,Online,94.2,7.7,1297,3.2,1.6,76,-80,3,306
228,20250430,DEV-00071,Online,93.8,5.8,1613,2.4,2.8,68,-56,2,286
229,20250531,DEV-00071,Online,97.7,5.0,1963,3.7,2.0,51,-74,0,134
230,20250630,DEV-00071,Online,99.9,5.4,1499,2.8,2.8,63,-64,0,346
231,20250731,DEV-00071,Online,97.8,7.6,1501,3.5,3.0,73,-73,2,278
232,20250831,DEV-00071,Online,89.9,8.8,2093,2.2,2.4,81,-68,1,337
233,20250930,DEV-00071,Online,97.3,5.7,733,3.6,2.7,58,-76,0,192
234,20251031,DEV-00071,Online,91.8,4.4,388,2.1,2.6,48,-80,1,158
235,20251130,DEV-00071,Online,89.5,6.0,1605,3.1,1.6,59,-66,1,353
236,20251231,DEV-00071,Online,99.9,6.0,792,2.5,2.7,56,-64,3,309
237,20260131,DEV-00071,Online,94.2,6.7,1770,1.7,2.8,67,-54,0,274
238,20260228,DEV-00071,Online,94.4,4.0,2549,2.0,2.6,92,-87,2,247
239,20260331,DEV-00071,Online,98.4,4.9,1040,2.8,2.5,76,-64,1,261
240,20260430,DEV-00071,Online,85.8,4.9,1875,1.5,1.2,48,-81,2,260
241,20250131,DEV-00076,Online,98.6,5.9,2424,3.2,3.0,76,-68,2,194
242,20250228,DEV-00076,Online,99.9,6.9,2617,2.5,2.8,59,-63,1,313
243,20250331,DEV-00076,Online,94.0,3.7,1089,2.9,1.8,56,-70,0,229
244,20250430,DEV-00076,Online,94.8,4.8,804,1.8,2.0,84,-66,1,376
245,20250531,DEV-00076,Online,91.7,7.1,1799,3.5,1.7,80,-67,0,354
246,20250630,DEV-00076,Online,90.2,6.3,2836,3.4,3.1,79,-80,1,316
247,20250731,DEV-00076,Online,92.6,7.6,2477,2.0,2.9,78,-89,1,314
248,20250831,DEV-00076,Online,83.0,8.1,2810,3.4,3.2,60,-91,1,202
249,20250930,DEV-00076,Online,91.9,3.9,1645,3.0,3.5,74,-75,1,276
250,20251031,DEV-00076,Online,89.0,5.8,314,1.8,1.7,76,-60,2,349
251,20251130,DEV-00076,Degraded,61.8,6.2,2159,4.0,2.6,68,-75,0,240
252,20251231,DEV-00076,Online,88.3,3.6,869,1.6,3.0,89,-51,0,451
253,20260131,DEV-00076,Offline,58.6,7.5,2116,1.5,2.3,57,-85,2,201
254,20260228,DEV-00076,Online,94.0,8.4,2515,2.4,2.9,64,-73,0,179
255,20260331,DEV-00076,Online,99.9,3.5,1228,3.9,1.8,55,-55,0,179
256,20260430,DEV-00076,Online,91.9,6.5,746,2.7,2.5,77,-79,0,198
257,20250131,DEV-00081,Online,95.9,7.7,1358,3.4,2.7,74,-73,2,282
258,20250228,DEV-00081,Online,85.5,7.1,2550,1.8,2.0,51,-80,2,201
259,20250331,DEV-00081,Online,90.4,4.4,1137,2.2,1.9,72,-73,0,311
260,20250430,DEV-00081,Online,95.2,2.0,969,2.7,3.0,57,-80,1,172
261,20250531,DEV-00081,Online,92.2,5.5,1466,2.2,1.9,66,-55,1,241
262,20250630,DEV-00081,Online,94.7,6.5,2784,3.7,2.4,60,-87,0,217
263,20250731,DEV-00081,Online,99.1,6.0,2048,3.4,3.0,54,-75,0,324
264,20250831,DEV-00081,Online,87.5,6.8,2685,2.1,3.9,72,-79,1,440
265,20250930,DEV-00081,Online,92.2,5.7,2341,2.0,3.1,86,-69,0,324
266,20251031,DEV-00081,Offline,68.4,5.8,2085,1.5,2.2,48,-85,0,373
267,20251130,DEV-00081,Degraded,60.6,5.0,695,4.0,2.7,82,-66,0,378
268,20251231,DEV-00081,Online,98.8,5.7,550,2.6,2.1,73,-78,0,359
269,20260131,DEV-00081,Online,93.7,6.2,3705,1.5,3.6,57,-83,5,433
270,20260228,DEV-00081,Online,89.5,5.0,1352,2.4,2.3,64,-77,0,230
271,20260331,DEV-00081,Degraded,62.4,6.3,1097,2.8,2.5,61,-66,1,369
272,20260430,DEV-00081,Online,99.2,5.9,1254,3.1,2.2,76,-81,0,240
273,20250131,DEV-00086,Online,94.9,5.6,2526,3.2,3.0,56,-71,2,343
274,20250228,DEV-00086,Online,96.9,6.2,2402,2.1,2.4,63,-69,1,80
275,20250331,DEV-00086,Online,96.0,6.8,1872,2.4,1.5,50,-58,0,269
276,20250430,DEV-00086,Online,97.7,7.2,1450,2.8,1.2,71,-54,0,246
277,20250531,DEV-00086,Online,88.5,7.1,955,2.0,1.6,76,-85,1,164
278,20250630,DEV-00086,Online,91.2,6.0,1402,3.3,2.8,45,-80,1,462
279,20250731,DEV-00086,Online,91.6,8.1,1347,2.6,3.3,85,-70,2,514
280,20250831,DEV-00086,Online,93.0,6.5,2428,2.7,2.6,74,-73,0,316
281,20250930,DEV-00086,Online,87.2,6.3,1231,3.3,3.0,66,-66,1,282
282,20251031,DEV-00086,Degraded,65.8,5.3,1342,3.1,2.2,69,-59,1,340
283,20251130,DEV-00086,Online,99.1,5.6,801,1.5,1.6,77,-78,0,149
284,20251231,DEV-00086,Online,98.6,5.1,2250,2.2,2.9,65,-80,0,284
285,20260131,DEV-00086,Online,93.8,7.9,2496,2.8,2.5,74,-76,0,366
286,20260228,DEV-00086,Online,96.5,5.2,3141,3.4,3.2,55,-57,0,262
287,20260331,DEV-00086,Online,99.9,6.1,1071,3.3,1.9,52,-62,0,353
288,20260430,DEV-00086,Online,85.6,5.6,1374,3.0,2.2,48,-72,1,218
289,20250131,DEV-00091,Degraded,65.0,8.3,2923,2.3,2.8,53,-73,2,252
290,20250228,DEV-00091,Online,95.8,6.1,2632,3.5,2.7,72,-77,2,226
291,20250331,DEV-00091,Online,98.5,4.3,2043,2.4,2.0,72,-77,3,345
292,20250430,DEV-00091,Online,93.4,5.4,843,2.0,2.4,47,-77,0,200
293,20250531,DEV-00091,Online,89.6,6.1,1043,3.8,1.6,81,-86,0,245
294,20250630,DEV-00091,Online,99.8,7.0,1666,2.9,2.3,74,-87,0,299
295,20250731,DEV-00091,Online,94.1,9.3,1547,3.1,2.9,65,-62,0,310
296,20250831,DEV-00091,Online,95.0,6.9,1072,1.9,3.1,82,-60,0,273
297,20250930,DEV-00091,Online,97.8,3.7,475,3.3,2.7,83,-68,1,190
298,20251031,DEV-00091,Online,93.3,5.7,1891,3.8,2.0,86,-74,1,165
299,20251130,DEV-00091,Online,93.2,4.9,2405,3.4,2.4,70,-83,1,335
300,20251231,DEV-00091,Online,95.2,5.9,1218,2.6,3.5,52,-80,1,394
301,20260131,DEV-00091,Online,97.7,6.7,1548,3.5,3.1,67,-84,0,187
302,20260228,DEV-00091,Online,91.1,5.6,3086,3.2,2.6,59,-74,0,290
303,20260331,DEV-00091,Online,92.1,5.5,1452,2.6,1.9,72,-82,1,272
304,20260430,DEV-00091,Online,91.4,3.0,300,2.6,2.0,76,-73,0,233
305,20250131,DEV-00096,Online,98.0,7.1,2286,3.9,2.7,75,-54,2,324
306,20250228,DEV-00096,Online,97.0,3.7,2045,2.2,1.6,85,-74,1,467
307,20250331,DEV-00096,Online,99.7,3.5,1023,2.8,2.6,84,-71,1,294
308,20250430,DEV-00096,Online,93.6,5.0,2113,3.1,3.2,72,-78,1,276
309,20250531,DEV-00096,Online,89.9,5.0,941,2.0,1.7,61,-81,1,343
310,20250630,DEV-00096,Online,91.6,7.2,2829,2.3,2.5,64,-79,0,474
311,20250731,DEV-00096,Online,96.6,6.2,1905,1.8,3.8,56,-83,1,366
312,20250831,DEV-00096,Online,99.9,5.8,1741,3.3,2.1,78,-62,0,160
