TransactionID,DateKey,CustomerID,ProductID,ChannelID,AgentID,CountyID,UnitsSold,RevenueKES,PaymentType,LeadSource,DaysToClose
TXN-00020,20230102,CUST-03040,PROD-001,CH-01,AGT-070,CTY-021,1,96523,PAYG,Referral,5
TXN-00021,20230122,CUST-00117,PROD-004,CH-01,AGT-053,CTY-039,1,44092,PAYG,Field Agent,5
TXN-00022,20230101,CUST-01716,PROD-002,CH-03,AGT-037,CTY-013,1,87555,PAYG,Walk-in,5
TXN-00023,20230103,CUST-02841,PROD-001,CH-01,AGT-025,CTY-015,1,99961,Cash,Walk-in,20
TXN-00024,20230103,CUST-04431,PROD-003,CH-01,AGT-077,CTY-026,1,76543,PAYG,Referral,5
TXN-00025,20230113,CUST-01900,PROD-002,CH-04,AGT-048,CTY-043,1,76439,PAYG,Field Agent,9
TXN-00026,20230111,CUST-02573,PROD-001,CH-02,AGT-060,CTY-026,1,94314,Cash,Referral,5
TXN-00027,20230114,CUST-01958,PROD-002,CH-02,AGT-077,CTY-040,1,77317,Cash,Referral,15
TXN-00028,20230109,CUST-02442,PROD-001,CH-01,AGT-010,CTY-036,1,93783,PAYG,Trade Show,11
TXN-00029,20230115,CUST-02443,PROD-005,CH-02,AGT-038,CTY-021,1,13923,Cash,Trade Show,5
TXN-00030,20230126,CUST-02991,PROD-001,CH-01,AGT-056,CTY-028,1,85161,PAYG,Referral,35
TXN-00031,20230124,CUST-04952,PROD-001,CH-01,AGT-032,CTY-021,1,85647,Cash,Referral,5
TXN-00032,20230117,CUST-04932,PROD-008,CH-02,AGT-078,CTY-003,1,4894,PAYG,Walk-in,10
TXN-00033,20230111,CUST-02946,PROD-001,CH-04,AGT-016,CTY-026,1,103408,PAYG,Referral,13
TXN-00034,20230115,CUST-02969,PROD-003,CH-02,AGT-011,CTY-040,1,64455,PAYG,Field Agent,10
TXN-00035,20230128,CUST-03041,PROD-003,CH-01,AGT-049,CTY-018,1,73348,Cash,Walk-in,16
TXN-00036,20230101,CUST-02676,PROD-006,CH-01,AGT-071,CTY-004,1,31547,Cash,Social Media,13
TXN-00037,20230117,CUST-04316,PROD-002,CH-03,AGT-028,CTY-021,1,72477,Cash,Social Media,10
TXN-00038,20230118,CUST-02687,PROD-002,CH-01,AGT-022,CTY-004,1,79730,PAYG,Field Agent,5
TXN-00039,20230127,CUST-04065,PROD-008,CH-03,AGT-008,CTY-043,1,4477,PAYG,Field Agent,7
TXN-00040,20230117,CUST-03617,PROD-006,CH-02,AGT-050,CTY-013,1,26119,PAYG,Field Agent,5
TXN-00041,20230103,CUST-02067,PROD-002,CH-01,AGT-017,CTY-014,1,75545,Cash,Walk-in,5
TXN-00042,20230118,CUST-03626,PROD-006,CH-01,AGT-070,CTY-040,1,27412,Cash,Field Agent,5
TXN-00043,20230120,CUST-03124,PROD-004,CH-02,AGT-019,CTY-029,1,38019,PAYG,Referral,45
TXN-00044,20230118,CUST-01915,PROD-001,CH-04,AGT-040,CTY-004,1,99730,Cash,Referral,11
TXN-00045,20230120,CUST-02048,PROD-001,CH-03,AGT-068,CTY-038,1,92875,PAYG,Referral,7
TXN-00046,20230103,CUST-02559,PROD-007,CH-01,AGT-055,CTY-037,1,8042,PAYG,Trade Show,34
TXN-00047,20230115,CUST-04737,PROD-001,CH-02,AGT-028,CTY-005,1,95649,PAYG,Radio,45
TXN-00048,20230108,CUST-04194,PROD-008,CH-04,AGT-066,CTY-029,1,1041,Cash,Radio,45
TXN-00049,20230120,CUST-03572,PROD-004,CH-02,AGT-026,CTY-040,1,40157,Cash,Trade Show,20
TXN-00050,20230107,CUST-02415,PROD-005,CH-01,AGT-072,CTY-037,1,14124,PAYG,Walk-in,16
TXN-00051,20230101,CUST-02885,PROD-001,CH-01,AGT-052,CTY-043,1,91853,Cash,Radio,33
TXN-00052,20230104,CUST-03432,PROD-005,CH-01,AGT-053,CTY-036,1,17660,Cash,Field Agent,14
TXN-00053,20230128,CUST-00159,PROD-002,CH-03,AGT-050,CTY-019,1,79894,PAYG,Referral,5
TXN-00054,20230118,CUST-03075,PROD-001,CH-04,AGT-010,CTY-043,1,95974,Cash,Field Agent,9
TXN-00055,20230102,CUST-04414,PROD-005,CH-02,AGT-058,CTY-018,1,12706,PAYG,Walk-in,20
TXN-00056,20230114,CUST-02832,PROD-002,CH-01,AGT-002,CTY-005,1,76675,PAYG,Walk-in,5
TXN-00057,20230111,CUST-00751,PROD-005,CH-03,AGT-063,CTY-036,1,17712,PAYG,Referral,5
TXN-00058,20230118,CUST-01634,PROD-002,CH-01,AGT-071,CTY-006,1,80497,PAYG,Social Media,13
TXN-00059,20230122,CUST-00068,PROD-003,CH-02,AGT-073,CTY-016,1,70202,PAYG,Walk-in,5
TXN-00060,20230103,CUST-02906,PROD-007,CH-02,AGT-029,CTY-001,1,8167,PAYG,Field Agent,23
TXN-00061,20230114,CUST-01961,PROD-007,CH-02,AGT-057,CTY-002,1,8144,PAYG,Field Agent,16
TXN-00062,20230108,CUST-01185,PROD-007,CH-02,AGT-013,CTY-039,1,8829,PAYG,Referral,20
TXN-00063,20230102,CUST-04774,PROD-002,CH-02,AGT-056,CTY-007,1,77995,Cash,Referral,11
TXN-00064,20230105,CUST-03463,PROD-002,CH-01,AGT-052,CTY-040,1,81021,PAYG,Referral,28
TXN-00065,20230108,CUST-04888,PROD-001,CH-02,AGT-070,CTY-041,1,93260,PAYG,Field Agent,6
TXN-00066,20230113,CUST-00718,PROD-007,CH-01,AGT-079,CTY-003,1,7267,PAYG,Radio,42
TXN-00067,20230116,CUST-03762,PROD-002,CH-02,AGT-074,CTY-003,1,76249,Cash,Field Agent,41
TXN-00068,20230124,CUST-04434,PROD-006,CH-01,AGT-001,CTY-001,1,31461,PAYG,Field Agent,8
TXN-00069,20230114,CUST-02176,PROD-003,CH-01,AGT-021,CTY-038,1,59585,Cash,Radio,27
TXN-00070,20230103,CUST-04062,PROD-001,CH-01,AGT-002,CTY-021,1,91811,PAYG,Social Media,44
TXN-00071,20230105,CUST-00386,PROD-001,CH-01,AGT-044,CTY-026,1,91067,PAYG,Social Media,20
TXN-00072,20230120,CUST-00695,PROD-001,CH-01,AGT-030,CTY-019,1,94055,PAYG,Walk-in,21
TXN-00073,20230113,CUST-02267,PROD-002,CH-01,AGT-015,CTY-039,1,69046,PAYG,Social Media,45
TXN-00074,20230125,CUST-00735,PROD-006,CH-01,AGT-053,CTY-014,1,27844,Cash,Trade Show,14
TXN-00075,20230104,CUST-03869,PROD-002,CH-01,AGT-009,CTY-021,1,73646,Cash,Trade Show,7
TXN-00076,20230108,CUST-00690,PROD-004,CH-02,AGT-014,CTY-021,1,39927,PAYG,Referral,5
TXN-00077,20230117,CUST-04399,PROD-003,CH-03,AGT-072,CTY-008,1,73049,PAYG,Referral,5
TXN-00078,20230122,CUST-01927,PROD-008,CH-01,AGT-051,CTY-020,1,1478,PAYG,Referral,41
TXN-00079,20230124,CUST-02570,PROD-001,CH-03,AGT-015,CTY-026,1,104550,PAYG,Walk-in,8
TXN-00080,20230126,CUST-01787,PROD-008,CH-02,AGT-043,CTY-039,1,2830,Cash,Walk-in,20
TXN-00081,20230105,CUST-04692,PROD-004,CH-02,AGT-008,CTY-036,1,42756,PAYG,Radio,5
TXN-00082,20230118,CUST-04212,PROD-002,CH-01,AGT-040,CTY-006,1,84348,PAYG,Trade Show,5
TXN-00083,20230113,CUST-02237,PROD-007,CH-01,AGT-029,CTY-018,1,7414,PAYG,Referral,10
TXN-00084,20230105,CUST-04150,PROD-003,CH-03,AGT-058,CTY-042,1,76361,PAYG,Referral,45
TXN-00085,20230106,CUST-00287,PROD-008,CH-01,AGT-048,CTY-016,1,3713,PAYG,Radio,45
TXN-00086,20230123,CUST-00663,PROD-001,CH-01,AGT-002,CTY-003,1,94644,Cash,Radio,19
TXN-00087,20230123,CUST-00366,PROD-001,CH-02,AGT-057,CTY-019,1,102175,PAYG,Referral,10
TXN-00088,20230110,CUST-02753,PROD-001,CH-01,AGT-053,CTY-002,1,97303,PAYG,Field Agent,13
TXN-00089,20230126,CUST-04631,PROD-001,CH-04,AGT-012,CTY-038,1,96397,PAYG,Referral,27
TXN-00090,20230125,CUST-00898,PROD-003,CH-01,AGT-079,CTY-021,1,65574,PAYG,Referral,21
TXN-00091,20230111,CUST-01548,PROD-007,CH-02,AGT-046,CTY-020,1,9221,Cash,Referral,15
TXN-00092,20230115,CUST-03752,PROD-002,CH-01,AGT-046,CTY-002,1,71050,PAYG,Field Agent,45
TXN-00093,20230107,CUST-02219,PROD-001,CH-02,AGT-026,CTY-019,1,93443,PAYG,Walk-in,5
TXN-00094,20230125,CUST-00145,PROD-007,CH-01,AGT-078,CTY-043,1,6690,Cash,Walk-in,5
TXN-00095,20230124,CUST-04240,PROD-002,CH-01,AGT-048,CTY-018,1,83015,PAYG,Field Agent,5
TXN-00096,20230127,CUST-03701,PROD-002,CH-01,AGT-063,CTY-014,1,85506,PAYG,Field Agent,7
TXN-00097,20230124,CUST-01364,PROD-004,CH-02,AGT-059,CTY-006,1,49747,PAYG,Trade Show,31
TXN-00098,20230109,CUST-03907,PROD-001,CH-01,AGT-008,CTY-042,1,87291,PAYG,Referral,5
TXN-00099,20230102,CUST-00452,PROD-002,CH-01,AGT-045,CTY-002,1,79655,Cash,Trade Show,19
TXN-00100,20230112,CUST-01019,PROD-002,CH-01,AGT-072,CTY-026,1,84496,Cash,Referral,15
TXN-00101,20230118,CUST-02775,PROD-001,CH-03,AGT-019,CTY-003,1,96705,PAYG,Walk-in,18
TXN-00102,20230124,CUST-04952,PROD-001,CH-01,AGT-075,CTY-021,1,103146,PAYG,Referral,5
TXN-00103,20230117,CUST-04781,PROD-001,CH-01,AGT-056,CTY-042,1,98235,Cash,Field Agent,5
TXN-00104,20230118,CUST-02694,PROD-005,CH-03,AGT-002,CTY-001,1,13513,PAYG,Radio,26
TXN-00105,20230127,CUST-00349,PROD-001,CH-03,AGT-025,CTY-009,1,97780,PAYG,Field Agent,45
TXN-00106,20230114,CUST-01621,PROD-001,CH-01,AGT-003,CTY-039,1,98529,PAYG,Social Media,45
TXN-00107,20230125,CUST-04520,PROD-001,CH-01,AGT-059,CTY-029,1,97836,PAYG,Radio,45
TXN-00108,20230114,CUST-02360,PROD-001,CH-01,AGT-066,CTY-008,1,94288,PAYG,Field Agent,10
TXN-00109,20230126,CUST-01639,PROD-001,CH-01,AGT-012,CTY-041,1,89447,PAYG,Field Agent,9
TXN-00110,20230118,CUST-02460,PROD-005,CH-01,AGT-044,CTY-013,1,15802,PAYG,Field Agent,35
TXN-00111,20230128,CUST-00645,PROD-008,CH-01,AGT-016,CTY-016,1,3008,Cash,Field Agent,10
TXN-00112,20230104,CUST-04973,PROD-002,CH-02,AGT-009,CTY-020,1,70773,Cash,Social Media,5
TXN-00113,20230121,CUST-01250,PROD-008,CH-03,AGT-064,CTY-001,1,4441,Cash,Radio,5
TXN-00114,20230102,CUST-04396,PROD-002,CH-04,AGT-038,CTY-041,1,84039,PAYG,Field Agent,39
TXN-00115,20230106,CUST-02973,PROD-001,CH-04,AGT-068,CTY-003,1,91196,PAYG,Referral,18
TXN-00116,20230123,CUST-03345,PROD-008,CH-01,AGT-006,CTY-041,1,2932,PAYG,Social Media,5
TXN-00117,20230102,CUST-00526,PROD-002,CH-02,AGT-054,CTY-016,1,74853,PAYG,Referral,9
TXN-00118,20230121,CUST-04309,PROD-003,CH-03,AGT-080,CTY-029,1,65493,Cash,Field Agent,42
TXN-00119,20230110,CUST-03988,PROD-001,CH-04,AGT-008,CTY-005,1,85171,Cash,Referral,42
TXN-00120,20230116,CUST-02986,PROD-001,CH-03,AGT-022,CTY-018,1,103600,Cash,Trade Show,5
TXN-00121,20230118,CUST-03733,PROD-002,CH-04,AGT-069,CTY-037,1,85456,PAYG,Field Agent,18
TXN-00122,20230115,CUST-00482,PROD-008,CH-01,AGT-035,CTY-038,1,3169,PAYG,Referral,24
TXN-00123,20230110,CUST-00464,PROD-002,CH-02,AGT-042,CTY-041,1,70263,PAYG,Field Agent,28
TXN-00124,20230117,CUST-00743,PROD-007,CH-03,AGT-008,CTY-008,1,6356,Cash,Walk-in,45
TXN-00125,20230117,CUST-00002,PROD-001,CH-03,AGT-019,CTY-004,1,103241,PAYG,Radio,36
TXN-00126,20230127,CUST-00698,PROD-004,CH-02,AGT-071,CTY-021,1,43631,Cash,Field Agent,14
TXN-00127,20230118,CUST-02191,PROD-006,CH-02,AGT-079,CTY-003,1,26981,PAYG,Referral,6
TXN-00128,20230103,CUST-02753,PROD-001,CH-01,AGT-018,CTY-002,1,98546,PAYG,Social Media,18
TXN-00129,20230105,CUST-01389,PROD-005,CH-03,AGT-053,CTY-009,1,14711,Cash,Field Agent,5
TXN-00130,20230121,CUST-04247,PROD-001,CH-03,AGT-015,CTY-041,1,94020,PAYG,Field Agent,36
TXN-00131,20230101,CUST-02093,PROD-002,CH-02,AGT-013,CTY-028,1,75064,Cash,Field Agent,5
TXN-00132,20230114,CUST-02520,PROD-002,CH-03,AGT-026,CTY-038,1,73072,Cash,Social Media,19
TXN-00133,20230104,CUST-03853,PROD-001,CH-01,AGT-067,CTY-018,1,94679,Cash,Walk-in,5
TXN-00134,20230105,CUST-04054,PROD-004,CH-01,AGT-056,CTY-016,1,48206,PAYG,Referral,37
TXN-00135,20230104,CUST-04175,PROD-001,CH-01,AGT-073,CTY-018,1,104536,Cash,Field Agent,5
TXN-00136,20230108,CUST-03106,PROD-005,CH-01,AGT-017,CTY-015,1,13777,PAYG,Walk-in,5
TXN-00137,20230109,CUST-02243,PROD-002,CH-01,AGT-043,CTY-036,1,70175,PAYG,Social Media,5
TXN-00138,20230104,CUST-03776,PROD-004,CH-01,AGT-067,CTY-039,1,43170,PAYG,Referral,19
TXN-00139,20230104,CUST-02870,PROD-001,CH-03,AGT-055,CTY-036,1,98806,PAYG,Walk-in,5
TXN-00140,20230110,CUST-02705,PROD-001,CH-01,AGT-016,CTY-003,1,102633,Cash,Field Agent,5
TXN-00141,20230113,CUST-02552,PROD-001,CH-04,AGT-034,CTY-008,1,95937,Cash,Social Media,5
TXN-00142,20230114,CUST-00216,PROD-001,CH-01,AGT-026,CTY-019,1,94043,Cash,Field Agent,5
TXN-00143,20230109,CUST-02962,PROD-001,CH-03,AGT-032,CTY-013,1,102917,PAYG,Field Agent,5
TXN-00144,20230101,CUST-02765,PROD-002,CH-04,AGT-080,CTY-015,1,70638,PAYG,Field Agent,23
TXN-00145,20230116,CUST-00942,PROD-001,CH-01,AGT-019,CTY-038,1,98972,Cash,Radio,36
TXN-00146,20230120,CUST-02612,PROD-001,CH-02,AGT-067,CTY-037,1,87765,PAYG,Field Agent,5
TXN-00147,20230124,CUST-01703,PROD-002,CH-03,AGT-050,CTY-013,1,81850,PAYG,Radio,16
TXN-00148,20230111,CUST-03503,PROD-003,CH-01,AGT-059,CTY-020,1,68550,PAYG,Field Agent,5
TXN-00149,20230119,CUST-04036,PROD-008,CH-04,AGT-002,CTY-007,1,4097,Cash,Walk-in,16
TXN-00150,20230124,CUST-02113,PROD-002,CH-01,AGT-038,CTY-043,1,71952,PAYG,Trade Show,33
TXN-00151,20230119,CUST-00540,PROD-007,CH-03,AGT-006,CTY-013,1,6625,PAYG,Field Agent,45
TXN-00152,20230113,CUST-01476,PROD-005,CH-04,AGT-080,CTY-001,1,14810,Cash,Radio,5
TXN-00153,20230119,CUST-04619,PROD-002,CH-03,AGT-043,CTY-004,1,70711,PAYG,Field Agent,37
TXN-00154,20230115,CUST-01633,PROD-002,CH-01,AGT-004,CTY-019,1,72577,PAYG,Referral,15
TXN-00155,20230106,CUST-00893,PROD-002,CH-04,AGT-028,CTY-028,1,71857,PAYG,Trade Show,6
TXN-00156,20230102,CUST-02471,PROD-008,CH-02,AGT-060,CTY-037,1,2198,PAYG,Social Media,13
TXN-00157,20230118,CUST-00719,PROD-001,CH-03,AGT-022,CTY-018,1,99212,PAYG,Social Media,41
TXN-00158,20230123,CUST-02457,PROD-007,CH-04,AGT-031,CTY-003,1,7559,PAYG,Trade Show,5
TXN-00159,20230116,CUST-01271,PROD-007,CH-01,AGT-064,CTY-019,1,9386,PAYG,Field Agent,5
TXN-00160,20230105,CUST-02928,PROD-002,CH-01,AGT-038,CTY-028,1,82524,PAYG,Field Agent,5
TXN-00161,20230117,CUST-02537,PROD-001,CH-01,AGT-055,CTY-005,1,99770,PAYG,Social Media,45
TXN-00162,20230101,CUST-03212,PROD-002,CH-01,AGT-001,CTY-020,1,71706,Cash,Referral,8
TXN-00163,20230102,CUST-00241,PROD-007,CH-01,AGT-003,CTY-003,1,9964,PAYG,Radio,45
TXN-00164,20230109,CUST-04665,PROD-003,CH-01,AGT-069,CTY-007,1,69028,PAYG,Social Media,33
TXN-00165,20230107,CUST-01589,PROD-008,CH-01,AGT-025,CTY-006,1,1451,PAYG,Referral,7
TXN-00166,20230105,CUST-03277,PROD-001,CH-02,AGT-016,CTY-005,1,91493,PAYG,Field Agent,15
TXN-00167,20230123,CUST-01623,PROD-003,CH-01,AGT-061,CTY-016,1,62180,PAYG,Field Agent,10
TXN-00168,20230218,CUST-03146,PROD-003,CH-02,AGT-061,CTY-039,1,59588,PAYG,Radio,5
TXN-00169,20230208,CUST-01690,PROD-007,CH-01,AGT-058,CTY-029,1,9559,PAYG,Walk-in,45
TXN-00170,20230216,CUST-03918,PROD-002,CH-01,AGT-034,CTY-041,1,71008,PAYG,Walk-in,5
TXN-00171,20230218,CUST-02861,PROD-002,CH-02,AGT-027,CTY-026,1,76858,PAYG,Field Agent,12
TXN-00172,20230225,CUST-00259,PROD-002,CH-02,AGT-043,CTY-039,1,85329,Cash,Social Media,5
TXN-00173,20230225,CUST-02278,PROD-004,CH-02,AGT-036,CTY-004,1,49056,PAYG,Walk-in,38
TXN-00174,20230225,CUST-03371,PROD-004,CH-02,AGT-069,CTY-001,1,43875,PAYG,Walk-in,25
TXN-00175,20230227,CUST-01916,PROD-003,CH-03,AGT-065,CTY-041,1,61657,PAYG,Walk-in,32
TXN-00176,20230220,CUST-00246,PROD-001,CH-01,AGT-064,CTY-006,1,90712,PAYG,Social Media,32
TXN-00177,20230203,CUST-03612,PROD-005,CH-02,AGT-064,CTY-038,1,17015,PAYG,Referral,8
TXN-00178,20230201,CUST-02532,PROD-002,CH-01,AGT-059,CTY-026,1,82132,PAYG,Field Agent,14
TXN-00179,20230217,CUST-04314,PROD-001,CH-03,AGT-072,CTY-029,1,103976,Cash,Referral,5
TXN-00180,20230219,CUST-01688,PROD-006,CH-01,AGT-064,CTY-004,1,25838,PAYG,Social Media,9
TXN-00181,20230226,CUST-04105,PROD-003,CH-02,AGT-038,CTY-004,1,60353,PAYG,Social Media,6
TXN-00182,20230220,CUST-00924,PROD-007,CH-02,AGT-053,CTY-029,1,9463,PAYG,Referral,5
TXN-00183,20230222,CUST-03324,PROD-003,CH-02,AGT-010,CTY-013,1,65630,PAYG,Field Agent,6
TXN-00184,20230226,CUST-00266,PROD-002,CH-01,AGT-069,CTY-013,1,76401,PAYG,Referral,26
TXN-00185,20230202,CUST-03642,PROD-002,CH-01,AGT-068,CTY-018,1,76905,PAYG,Social Media,8
TXN-00186,20230213,CUST-01754,PROD-002,CH-01,AGT-069,CTY-003,1,82695,PAYG,Referral,12
TXN-00187,20230211,CUST-00932,PROD-003,CH-03,AGT-060,CTY-007,1,73182,PAYG,Field Agent,15
TXN-00188,20230224,CUST-01533,PROD-004,CH-02,AGT-001,CTY-006,1,38159,PAYG,Trade Show,15
TXN-00189,20230227,CUST-02343,PROD-001,CH-01,AGT-031,CTY-037,1,93003,PAYG,Field Agent,15
TXN-00190,20230219,CUST-00153,PROD-002,CH-01,AGT-056,CTY-005,1,71812,PAYG,Field Agent,5
TXN-00191,20230203,CUST-03749,PROD-005,CH-01,AGT-042,CTY-016,1,17685,Cash,Field Agent,19
TXN-00192,20230208,CUST-01357,PROD-001,CH-02,AGT-043,CTY-016,1,89041,PAYG,Referral,27
TXN-00193,20230205,CUST-02454,PROD-001,CH-02,AGT-012,CTY-042,1,90535,PAYG,Field Agent,45
TXN-00194,20230206,CUST-00366,PROD-008,CH-02,AGT-059,CTY-019,1,1850,PAYG,Referral,20
TXN-00195,20230217,CUST-01750,PROD-001,CH-02,AGT-060,CTY-039,1,96496,Cash,Referral,45
TXN-00196,20230203,CUST-03711,PROD-002,CH-02,AGT-077,CTY-006,1,80352,PAYG,Social Media,45
TXN-00197,20230210,CUST-02434,PROD-005,CH-01,AGT-071,CTY-008,1,16588,PAYG,Field Agent,10
TXN-00198,20230224,CUST-01762,PROD-001,CH-02,AGT-061,CTY-028,1,100949,Cash,Trade Show,5
TXN-00199,20230216,CUST-01229,PROD-001,CH-01,AGT-014,CTY-040,1,89696,PAYG,Referral,11
TXN-00200,20230201,CUST-03889,PROD-001,CH-02,AGT-048,CTY-021,1,92470,Cash,Field Agent,5
TXN-00201,20230225,CUST-01660,PROD-006,CH-02,AGT-076,CTY-038,1,30148,PAYG,Referral,5
TXN-00202,20230210,CUST-04091,PROD-007,CH-01,AGT-017,CTY-016,1,8626,PAYG,Referral,12
TXN-00203,20230211,CUST-00252,PROD-001,CH-03,AGT-024,CTY-015,1,103853,PAYG,Referral,20
TXN-00204,20230228,CUST-02182,PROD-008,CH-01,AGT-064,CTY-002,1,1055,Cash,Radio,5
TXN-00205,20230212,CUST-04130,PROD-001,CH-02,AGT-077,CTY-037,1,95913,Cash,Social Media,8
TXN-00206,20230215,CUST-04448,PROD-006,CH-04,AGT-055,CTY-026,1,26434,PAYG,Referral,5
TXN-00207,20230213,CUST-03687,PROD-008,CH-02,AGT-066,CTY-020,1,3679,Cash,Trade Show,45
TXN-00208,20230216,CUST-03886,PROD-002,CH-01,AGT-080,CTY-020,1,70668,PAYG,Referral,26
TXN-00209,20230213,CUST-01767,PROD-002,CH-04,AGT-049,CTY-002,1,82167,PAYG,Trade Show,5
TXN-00210,20230220,CUST-00684,PROD-001,CH-03,AGT-062,CTY-036,1,97970,Cash,Field Agent,45
TXN-00211,20230216,CUST-02793,PROD-008,CH-03,AGT-052,CTY-013,1,1407,PAYG,Trade Show,18
TXN-00212,20230205,CUST-02141,PROD-001,CH-01,AGT-059,CTY-037,1,101634,PAYG,Radio,7
TXN-00213,20230209,CUST-04938,PROD-008,CH-03,AGT-019,CTY-028,1,3457,PAYG,Walk-in,5
TXN-00214,20230208,CUST-00196,PROD-006,CH-02,AGT-075,CTY-026,1,28813,PAYG,Referral,14
TXN-00215,20230214,CUST-01402,PROD-001,CH-03,AGT-030,CTY-016,1,90531,Cash,Referral,5
TXN-00216,20230205,CUST-03648,PROD-001,CH-01,AGT-052,CTY-002,1,103623,Cash,Field Agent,41
TXN-00217,20230216,CUST-02628,PROD-005,CH-01,AGT-072,CTY-007,1,12436,PAYG,Field Agent,21
TXN-00218,20230228,CUST-02392,PROD-002,CH-03,AGT-078,CTY-014,1,75504,PAYG,Social Media,5
TXN-00219,20230213,CUST-04380,PROD-002,CH-01,AGT-016,CTY-008,1,72068,Cash,Field Agent,14
TXN-00220,20230205,CUST-04314,PROD-001,CH-02,AGT-023,CTY-029,1,100178,PAYG,Field Agent,15
TXN-00221,20230220,CUST-04072,PROD-003,CH-01,AGT-060,CTY-014,1,69937,Cash,Social Media,45
TXN-00222,20230210,CUST-00083,PROD-002,CH-02,AGT-054,CTY-016,1,69019,Cash,Walk-in,31
TXN-00223,20230211,CUST-02728,PROD-007,CH-02,AGT-036,CTY-016,1,9823,PAYG,Walk-in,21
TXN-00224,20230205,CUST-04414,PROD-005,CH-02,AGT-008,CTY-018,1,14814,PAYG,Referral,45
TXN-00225,20230224,CUST-04786,PROD-002,CH-04,AGT-038,CTY-002,1,68072,PAYG,Radio,7
TXN-00226,20230202,CUST-03676,PROD-001,CH-02,AGT-025,CTY-002,1,85523,PAYG,Walk-in,5
TXN-00227,20230209,CUST-02384,PROD-002,CH-01,AGT-001,CTY-041,1,74414,PAYG,Referral,26
TXN-00228,20230218,CUST-02709,PROD-007,CH-03,AGT-046,CTY-003,1,7001,Cash,Walk-in,31
TXN-00229,20230209,CUST-02177,PROD-002,CH-02,AGT-011,CTY-002,1,72685,PAYG,Field Agent,7
TXN-00230,20230207,CUST-04546,PROD-001,CH-01,AGT-009,CTY-026,1,86520,PAYG,Walk-in,19
TXN-00231,20230227,CUST-03993,PROD-002,CH-01,AGT-055,CTY-002,1,79832,Cash,Social Media,36
TXN-00232,20230223,CUST-04004,PROD-002,CH-01,AGT-017,CTY-019,1,80423,PAYG,Walk-in,45
TXN-00233,20230202,CUST-04306,PROD-004,CH-03,AGT-037,CTY-037,1,38298,Cash,Trade Show,5
TXN-00234,20230227,CUST-01794,PROD-008,CH-02,AGT-012,CTY-002,1,1672,PAYG,Referral,29
TXN-00235,20230202,CUST-03726,PROD-006,CH-02,AGT-002,CTY-041,1,26318,PAYG,Walk-in,45
TXN-00236,20230214,CUST-02315,PROD-002,CH-01,AGT-056,CTY-020,1,78070,PAYG,Field Agent,11
TXN-00237,20230206,CUST-04186,PROD-003,CH-01,AGT-032,CTY-014,1,75020,Cash,Radio,5
TXN-00238,20230218,CUST-02783,PROD-001,CH-02,AGT-052,CTY-043,1,96406,PAYG,Referral,34
TXN-00239,20230225,CUST-01515,PROD-001,CH-04,AGT-014,CTY-036,1,100753,PAYG,Walk-in,5
